add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0001,0.01,3,cuda:3,0.93204,1.19435
50,0.001,0.0001,0.01,3,cuda:3,0.61165,0.57127
50,0.001,0.0001,0.01,3,cuda:3,0.12621,0.08459
50,0.001,0.0001,0.01,6,cuda:2,0.96117,1.52973
50,0.001,0.0001,0.01,6,cuda:2,0.49515,0.44927
50,0.001,0.0001,0.01,6,cuda:2,0.05825,0.04323
50,0.001,0.0001,0.01,1,cuda:1,0.92233,1.48942
50,0.001,0.0001,0.01,1,cuda:1,0.59223,0.57905
50,0.001,0.0001,0.01,1,cuda:1,0.10680,0.09603
50,0.001,0.0001,0.01,0,cuda:0,0.93204,1.26309
50,0.001,0.0001,0.01,0,cuda:0,0.58252,0.45278
50,0.001,0.0001,0.01,0,cuda:0,0.17476,0.09900
50,0.001,0.0001,0.01,7,cuda:3,0.87379,1.10951
50,0.001,0.0001,0.01,7,cuda:3,0.50485,0.38053
50,0.001,0.0001,0.01,7,cuda:3,0.11650,0.06924
50,0.001,0.0001,0.01,5,cuda:1,0.90291,1.21088
50,0.001,0.0001,0.01,5,cuda:1,0.54369,0.44889
50,0.001,0.0001,0.01,5,cuda:1,0.14563,0.05955
50,0.001,0.0001,0.01,4,cuda:0,0.89320,1.18430
50,0.001,0.0001,0.01,4,cuda:0,0.51456,0.47132
50,0.001,0.0001,0.01,4,cuda:0,0.11650,0.04784
50,0.001,0.0001,0.01,2,cuda:2,0.94175,1.25658
50,0.001,0.0001,0.01,2,cuda:2,0.59223,0.47023
50,0.001,0.0001,0.01,2,cuda:2,0.26214,0.10231
50,0.001,0.0001,0.01,8,cuda:0,0.93204,1.35929
50,0.001,0.0001,0.01,8,cuda:0,0.59223,0.49318
50,0.001,0.0001,0.01,8,cuda:0,0.11650,0.06580
50,0.001,0.0001,0.01,9,cuda:1,0.91262,1.30253
50,0.001,0.0001,0.01,9,cuda:1,0.58252,0.48222
50,0.001,0.0001,0.01,9,cuda:1,0.11650,0.07188
50,0.001,0.0001,0.002,1,cuda:3,0.96117,1.43341
50,0.001,0.0001,0.002,1,cuda:3,0.54369,0.38079
50,0.001,0.0001,0.002,1,cuda:3,0.10680,0.05008
50,0.001,0.0001,0.002,0,cuda:2,0.91262,1.30239
50,0.001,0.0001,0.002,0,cuda:2,0.62136,0.48916
50,0.001,0.0001,0.002,0,cuda:2,0.18447,0.08477
50,0.001,0.0001,0.002,2,cuda:0,0.94175,1.14226
50,0.001,0.0001,0.002,2,cuda:0,0.45631,0.45836
50,0.001,0.0001,0.002,2,cuda:0,0.09709,0.06540
50,0.001,0.0001,0.002,3,cuda:1,0.95146,1.27765
50,0.001,0.0001,0.002,3,cuda:1,0.63107,0.46377
50,0.001,0.0001,0.002,3,cuda:1,0.20388,0.10858
50,0.001,0.0001,0.002,5,cuda:3,0.80583,1.09766
50,0.001,0.0001,0.002,5,cuda:3,0.46602,0.42514
50,0.001,0.0001,0.002,5,cuda:3,0.15534,0.10441
50,0.001,0.0001,0.002,4,cuda:2,0.85437,1.14909
50,0.001,0.0001,0.002,4,cuda:2,0.42718,0.36923
50,0.001,0.0001,0.002,4,cuda:2,0.07767,0.05999
50,0.001,0.0001,0.002,6,cuda:0,0.98058,1.48711
50,0.001,0.0001,0.002,6,cuda:0,0.48544,0.34325
50,0.001,0.0001,0.002,6,cuda:0,0.14563,0.05562
50,0.001,0.0001,0.002,7,cuda:1,0.85437,0.99616
50,0.001,0.0001,0.002,7,cuda:1,0.57282,0.37381
50,0.001,0.0001,0.002,7,cuda:1,0.18447,0.06258
50,0.001,0.0001,0.002,8,cuda:2,0.94175,1.34933
50,0.001,0.0001,0.002,8,cuda:2,0.56311,0.46937
50,0.001,0.0001,0.002,8,cuda:2,0.12621,0.07858
50,0.001,0.0001,0.002,9,cuda:3,0.95146,1.33522
50,0.001,0.0001,0.002,9,cuda:3,0.52427,0.40579
50,0.001,0.0001,0.002,9,cuda:3,0.11650,0.09826
50,0.001,0.0001,0.001,0,cuda:0,0.94175,1.32325
50,0.001,0.0001,0.001,0,cuda:0,0.55340,0.43586
50,0.001,0.0001,0.001,0,cuda:0,0.27184,0.12157
50,0.001,0.0001,0.001,3,cuda:3,0.97087,1.29526
50,0.001,0.0001,0.001,3,cuda:3,0.61165,0.46286
50,0.001,0.0001,0.001,3,cuda:3,0.08738,0.04769
50,0.001,0.0001,0.001,2,cuda:2,0.94175,1.18933
50,0.001,0.0001,0.001,2,cuda:2,0.48544,0.37318
50,0.001,0.0001,0.001,2,cuda:2,0.18447,0.08240
50,0.001,0.0001,0.001,1,cuda:1,0.95146,1.37110
50,0.001,0.0001,0.001,1,cuda:1,0.57282,0.43879
50,0.001,0.0001,0.001,1,cuda:1,0.07767,0.04428
50,0.001,0.0001,0.001,4,cuda:0,0.89320,1.16783
50,0.001,0.0001,0.001,4,cuda:0,0.45631,0.41236
50,0.001,0.0001,0.001,4,cuda:0,0.15534,0.06570
50,0.001,0.0001,0.001,6,cuda:2,0.95146,1.42542
50,0.001,0.0001,0.001,6,cuda:2,0.46602,0.37511
50,0.001,0.0001,0.001,6,cuda:2,0.15534,0.05606
50,0.001,0.0001,0.001,7,cuda:3,0.87379,1.10354
50,0.001,0.0001,0.001,7,cuda:3,0.48544,0.34230
50,0.001,0.0001,0.001,7,cuda:3,0.09709,0.04348
50,0.001,0.0001,0.001,8,cuda:0,0.94175,1.31751
50,0.001,0.0001,0.001,8,cuda:0,0.62136,0.46870
50,0.001,0.0001,0.001,8,cuda:0,0.14563,0.05787
50,0.001,0.0001,0.001,5,cuda:1,0.87379,1.10132
50,0.001,0.0001,0.001,5,cuda:1,0.49515,0.36068
50,0.001,0.0001,0.001,5,cuda:1,0.09709,0.04468
50,0.001,0.0001,0.001,9,cuda:1,0.92233,1.35926
50,0.001,0.0001,0.001,9,cuda:1,0.49515,0.39160
50,0.001,0.0001,0.001,9,cuda:1,0.10680,0.06349
50,0.001,0.0001,0.0001,1,cuda:3,0.93204,1.38452
50,0.001,0.0001,0.0001,1,cuda:3,0.62136,0.51661
50,0.001,0.0001,0.0001,1,cuda:3,0.06796,0.04353
50,0.001,0.0001,0.0001,0,cuda:2,0.93204,1.29254
50,0.001,0.0001,0.0001,0,cuda:2,0.45631,0.37431
50,0.001,0.0001,0.0001,0,cuda:2,0.07767,0.04019
50,0.001,0.0001,0.0001,2,cuda:0,0.93204,1.06807
50,0.001,0.0001,0.0001,2,cuda:0,0.57282,0.41742
50,0.001,0.0001,0.0001,2,cuda:0,0.16505,0.07868
50,0.001,0.0001,0.0001,3,cuda:1,0.95146,1.32591
50,0.001,0.0001,0.0001,3,cuda:1,0.59223,0.41394
50,0.001,0.0001,0.0001,3,cuda:1,0.09709,0.06619
50,0.001,0.0001,0.0001,6,cuda:0,0.90291,1.09036
50,0.001,0.0001,0.0001,6,cuda:0,0.58252,0.41989
50,0.001,0.0001,0.0001,6,cuda:0,0.13592,0.05680
50,0.001,0.0001,0.0001,7,cuda:1,0.82524,0.99171
50,0.001,0.0001,0.0001,7,cuda:1,0.48544,0.29673
50,0.001,0.0001,0.0001,7,cuda:1,0.08738,0.04865
50,0.001,0.0001,0.0001,4,cuda:2,0.91262,1.30640
50,0.001,0.0001,0.0001,4,cuda:2,0.46602,0.38767
50,0.001,0.0001,0.0001,4,cuda:2,0.09709,0.04959
50,0.001,0.0001,0.0001,5,cuda:3,0.91262,1.16696
50,0.001,0.0001,0.0001,5,cuda:3,0.49515,0.35870
50,0.001,0.0001,0.0001,5,cuda:3,0.08738,0.04734
50,0.001,0.0001,0.0001,9,cuda:3,0.93204,1.31364
50,0.001,0.0001,0.0001,9,cuda:3,0.52427,0.41735
50,0.001,0.0001,0.0001,9,cuda:3,0.15534,0.04390
50,0.001,0.0001,0.0001,8,cuda:2,0.90291,1.21406
50,0.001,0.0001,0.0001,8,cuda:2,0.65049,0.47232
50,0.001,0.0001,0.0001,8,cuda:2,0.19417,0.07997
50,0.001,0.0002,0.01,0,cuda:0,0.94175,1.40670
50,0.001,0.0002,0.01,0,cuda:0,0.71845,0.58482
50,0.001,0.0002,0.01,0,cuda:0,0.19417,0.10471
50,0.001,0.0002,0.01,2,cuda:2,0.95146,1.21114
50,0.001,0.0002,0.01,2,cuda:2,0.61165,0.48792
50,0.001,0.0002,0.01,2,cuda:2,0.09709,0.05926
50,0.001,0.0002,0.01,1,cuda:1,0.92233,1.42083
50,0.001,0.0002,0.01,1,cuda:1,0.45631,0.45670
50,0.001,0.0002,0.01,1,cuda:1,0.09709,0.09421
50,0.001,0.0002,0.01,3,cuda:3,0.95146,1.36936
50,0.001,0.0002,0.01,3,cuda:3,0.55340,0.43837
50,0.001,0.0002,0.01,3,cuda:3,0.13592,0.06183
50,0.001,0.0002,0.01,4,cuda:0,0.91262,1.35897
50,0.001,0.0002,0.01,4,cuda:0,0.38835,0.35101
50,0.001,0.0002,0.01,4,cuda:0,0.07767,0.02335
50,0.001,0.0002,0.01,5,cuda:1,0.85437,1.11310
50,0.001,0.0002,0.01,5,cuda:1,0.43689,0.32221
50,0.001,0.0002,0.01,5,cuda:1,0.13592,0.05420
50,0.001,0.0002,0.01,6,cuda:2,0.93204,1.41947
50,0.001,0.0002,0.01,6,cuda:2,0.50485,0.38527
50,0.001,0.0002,0.01,6,cuda:2,0.16505,0.06295
50,0.001,0.0002,0.01,7,cuda:3,0.87379,1.12246
50,0.001,0.0002,0.01,7,cuda:3,0.48544,0.35067
