add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0001,0.01,7,cuda:3,0.89385,0.61958
50,0.001,0.0001,0.01,7,cuda:3,0.47385,0.20623
50,0.001,0.0001,0.01,7,cuda:3,0.08308,0.05733
50,0.001,0.0001,0.01,2,cuda:2,0.90923,0.71418
50,0.001,0.0001,0.01,2,cuda:2,0.54000,0.19954
50,0.001,0.0001,0.01,2,cuda:2,0.11846,0.02243
50,0.001,0.0001,0.01,3,cuda:3,0.91385,0.49795
50,0.001,0.0001,0.01,3,cuda:3,0.51692,0.04398
50,0.001,0.0001,0.01,3,cuda:3,0.12615,0.01205
50,0.001,0.0001,0.01,1,cuda:1,0.89231,1.00006
50,0.001,0.0001,0.01,1,cuda:1,0.45385,0.27901
50,0.001,0.0001,0.01,1,cuda:1,0.08615,0.05144
50,0.001,0.0001,0.01,0,cuda:0,0.91846,0.69031
50,0.001,0.0001,0.01,0,cuda:0,0.54615,0.17521
50,0.001,0.0001,0.01,0,cuda:0,0.10769,0.02841
50,0.001,0.0001,0.01,6,cuda:2,0.86769,0.62476
50,0.001,0.0001,0.01,6,cuda:2,0.48615,0.16395
50,0.001,0.0001,0.01,6,cuda:2,0.08615,0.04595
50,0.001,0.0001,0.01,4,cuda:0,0.86923,0.44336
50,0.001,0.0001,0.01,4,cuda:0,0.48154,0.03700
50,0.001,0.0001,0.01,4,cuda:0,0.09385,0.00861
50,0.001,0.0001,0.01,5,cuda:1,0.88154,0.31038
50,0.001,0.0001,0.01,5,cuda:1,0.50769,0.09995
50,0.001,0.0001,0.01,5,cuda:1,0.10154,0.00630
50,0.001,0.0001,0.01,8,cuda:0,0.92154,0.76586
50,0.001,0.0001,0.01,8,cuda:0,0.51846,0.14881
50,0.001,0.0001,0.01,8,cuda:0,0.10154,0.02408
50,0.001,0.0001,0.01,9,cuda:1,0.92615,0.77716
50,0.001,0.0001,0.01,9,cuda:1,0.51538,0.27298
50,0.001,0.0001,0.01,9,cuda:1,0.07538,0.01349
50,0.001,0.0001,0.002,1,cuda:3,0.88769,0.51856
50,0.001,0.0001,0.002,1,cuda:3,0.49231,0.18934
50,0.001,0.0001,0.002,1,cuda:3,0.11231,0.00516
50,0.001,0.0001,0.002,0,cuda:2,0.89538,0.77393
50,0.001,0.0001,0.002,0,cuda:2,0.51692,0.15258
50,0.001,0.0001,0.002,0,cuda:2,0.09231,0.02518
50,0.001,0.0001,0.002,2,cuda:0,0.91846,0.56534
50,0.001,0.0001,0.002,2,cuda:0,0.51846,0.08693
50,0.001,0.0001,0.002,2,cuda:0,0.13538,0.00872
50,0.001,0.0001,0.002,5,cuda:3,0.88308,0.30332
50,0.001,0.0001,0.002,5,cuda:3,0.54923,0.10871
50,0.001,0.0001,0.002,5,cuda:3,0.11231,0.01075
50,0.001,0.0001,0.002,3,cuda:1,0.91077,0.38086
50,0.001,0.0001,0.002,3,cuda:1,0.47231,0.10193
50,0.001,0.0001,0.002,3,cuda:1,0.09846,0.04868
50,0.001,0.0001,0.002,4,cuda:2,0.88615,0.32899
50,0.001,0.0001,0.002,4,cuda:2,0.51077,0.09949
50,0.001,0.0001,0.002,4,cuda:2,0.10769,0.04293
50,0.001,0.0001,0.002,6,cuda:0,0.89077,0.50598
50,0.001,0.0001,0.002,6,cuda:0,0.50923,0.10872
50,0.001,0.0001,0.002,6,cuda:0,0.10615,0.02127
50,0.001,0.0001,0.002,7,cuda:1,0.90000,0.33123
50,0.001,0.0001,0.002,7,cuda:1,0.47692,0.05149
50,0.001,0.0001,0.002,7,cuda:1,0.09077,0.00943
50,0.001,0.0001,0.002,8,cuda:2,0.90923,0.56258
50,0.001,0.0001,0.002,8,cuda:2,0.51077,0.23012
50,0.001,0.0001,0.002,8,cuda:2,0.07846,0.01995
50,0.001,0.0001,0.002,9,cuda:3,0.92000,0.61834
50,0.001,0.0001,0.002,9,cuda:3,0.54000,0.22739
50,0.001,0.0001,0.002,9,cuda:3,0.10154,0.02680
50,0.001,0.0001,0.001,3,cuda:3,0.90615,0.36068
50,0.001,0.0001,0.001,3,cuda:3,0.46769,0.10066
50,0.001,0.0001,0.001,3,cuda:3,0.10154,0.02216
50,0.001,0.0001,0.001,2,cuda:2,0.90769,0.49221
50,0.001,0.0001,0.001,2,cuda:2,0.53692,0.07321
50,0.001,0.0001,0.001,2,cuda:2,0.10308,0.00402
50,0.001,0.0001,0.001,1,cuda:1,0.88308,0.51629
50,0.001,0.0001,0.001,1,cuda:1,0.49231,0.18388
