add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/bike_sharing/seed_0/voronoi/softlabelbased/20241028-225719,0.90621,2.19839
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/bike_sharing/seed_0/voronoi/softlabelbased/20241028-225719,0.50575,0.60207
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/bike_sharing/seed_0/voronoi/softlabelbased/20241028-225719,0.10012,0.11563
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/bike_sharing/seed_2/voronoi/softlabelbased/20241028-225719,0.91715,2.34879
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/bike_sharing/seed_2/voronoi/softlabelbased/20241028-225719,0.53280,0.66354
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/bike_sharing/seed_2/voronoi/softlabelbased/20241028-225719,0.10242,0.12522
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/bike_sharing/seed_3/voronoi/softlabelbased/20241028-225719,0.89643,2.15506
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/bike_sharing/seed_3/voronoi/softlabelbased/20241028-225719,0.48274,0.58542
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/bike_sharing/seed_3/voronoi/softlabelbased/20241028-225719,0.09148,0.11343
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/bike_sharing/seed_1/voronoi/softlabelbased/20241028-225719,0.91830,2.31707
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/bike_sharing/seed_1/voronoi/softlabelbased/20241028-225719,0.51438,0.62580
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/bike_sharing/seed_1/voronoi/softlabelbased/20241028-225719,0.10414,0.12554
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/bike_sharing/seed_4/voronoi/softlabelbased/20241028-225738,0.91082,2.20875
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/bike_sharing/seed_4/voronoi/softlabelbased/20241028-225738,0.48964,0.55341
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/bike_sharing/seed_4/voronoi/softlabelbased/20241028-225738,0.08688,0.10576
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/bike_sharing/seed_5/voronoi/softlabelbased/20241028-225741,0.90852,2.23687
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/bike_sharing/seed_5/voronoi/softlabelbased/20241028-225741,0.47238,0.59827
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/bike_sharing/seed_5/voronoi/softlabelbased/20241028-225741,0.09148,0.12010
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/bike_sharing/seed_6/voronoi/softlabelbased/20241028-225741,0.90564,2.17952
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/bike_sharing/seed_6/voronoi/softlabelbased/20241028-225741,0.49712,0.56325
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/bike_sharing/seed_6/voronoi/softlabelbased/20241028-225741,0.09321,0.10621
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/bike_sharing/seed_7/voronoi/softlabelbased/20241028-225741,0.92002,2.33600
