add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-233432,0.94175,1.23834
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-233432,0.68932,0.50836
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-233432,0.07767,0.06133
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-233432,0.97087,1.22934
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-233432,0.59223,0.51913
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-233432,0.19417,0.11167
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-233432,0.90291,1.09647
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-233432,0.56311,0.41903
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-233432,0.14563,0.07808
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-233432,0.95146,1.36957
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-233432,0.52427,0.41635
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-233432,0.17476,0.11346
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-233450,0.90291,1.34760
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-233450,0.50485,0.42977
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-233450,0.10680,0.07812
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/concrete/seed_7/voronoi/softlabelbased/20241028-233450,0.93204,1.19808
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/concrete/seed_7/voronoi/softlabelbased/20241028-233450,0.43689,0.28992
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/concrete/seed_7/voronoi/softlabelbased/20241028-233450,0.10680,0.05602
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/concrete/seed_6/voronoi/softlabelbased/20241028-233450,0.98058,1.39423
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/concrete/seed_6/voronoi/softlabelbased/20241028-233450,0.57282,0.46353
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/concrete/seed_6/voronoi/softlabelbased/20241028-233450,0.12621,0.07456
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-233450,0.91262,1.14324
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-233450,0.54369,0.38467
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-233450,0.06796,0.02847
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/concrete/seed_8/voronoi/softlabelbased/20241028-233504,0.96117,1.30965
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/concrete/seed_8/voronoi/softlabelbased/20241028-233504,0.57282,0.49080
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/concrete/seed_8/voronoi/softlabelbased/20241028-233504,0.17476,0.09962
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/concrete/seed_9/voronoi/softlabelbased/20241028-233507,0.94175,1.30657
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/concrete/seed_9/voronoi/softlabelbased/20241028-233507,0.49515,0.42675
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/concrete/seed_9/voronoi/softlabelbased/20241028-233507,0.20388,0.12179
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-233508,0.95146,1.35828
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-233508,0.59223,0.49392
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-233508,0.08738,0.06011
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-233508,0.93204,1.38411
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-233508,0.45631,0.38449
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-233508,0.22330,0.12813
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-233521,0.90291,1.10832
