add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/energy_efficiency/seed_0/voronoi/softlabelbased/20241029-041324,0.87013,0.13692
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/energy_efficiency/seed_0/voronoi/softlabelbased/20241029-041324,0.40260,0.02511
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/energy_efficiency/seed_0/voronoi/softlabelbased/20241029-041324,0.10390,0.00700
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/energy_efficiency/seed_1/voronoi/softlabelbased/20241029-041337,0.93506,0.27498
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/energy_efficiency/seed_1/voronoi/softlabelbased/20241029-041337,0.61039,0.05259
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/energy_efficiency/seed_1/voronoi/softlabelbased/20241029-041337,0.16883,0.01104
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/energy_efficiency/seed_2/voronoi/softlabelbased/20241029-041344,0.93506,0.21775
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/energy_efficiency/seed_2/voronoi/softlabelbased/20241029-041344,0.51948,0.03655
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/energy_efficiency/seed_2/voronoi/softlabelbased/20241029-041344,0.12987,0.00735
99999,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/energy_efficiency/seed_3/voronoi/softlabelbased/20241029-041350,0.90909,0.17114
99999,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/energy_efficiency/seed_3/voronoi/softlabelbased/20241029-041350,0.61039,0.04036
99999,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/energy_efficiency/seed_3/voronoi/softlabelbased/20241029-041350,0.12987,0.00766
99999,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/energy_efficiency/seed_4/voronoi/softlabelbased/20241029-041811,0.97403,0.18755
99999,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/energy_efficiency/seed_4/voronoi/softlabelbased/20241029-041811,0.51948,0.02058
99999,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/energy_efficiency/seed_4/voronoi/softlabelbased/20241029-041811,0.19481,0.00699
99999,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/energy_efficiency/seed_5/voronoi/softlabelbased/20241029-041822,0.94805,0.24190
99999,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/energy_efficiency/seed_5/voronoi/softlabelbased/20241029-041822,0.49351,0.03766
99999,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/energy_efficiency/seed_5/voronoi/softlabelbased/20241029-041822,0.18182,0.00887
99999,0.001,0.0001,0.01,-1,150,6,Experiment Path: ./logs/energy_efficiency/seed_6/voronoi/softlabelbased/20241029-041830,0.87013,0.18793
99999,0.001,0.0001,0.01,-1,150,6,Experiment Path: ./logs/energy_efficiency/seed_6/voronoi/softlabelbased/20241029-041830,0.45455,0.03528
99999,0.001,0.0001,0.01,-1,150,6,Experiment Path: ./logs/energy_efficiency/seed_6/voronoi/softlabelbased/20241029-041830,0.07792,0.00846
99999,0.001,0.0001,0.01,-1,150,7,Experiment Path: ./logs/energy_efficiency/seed_7/voronoi/softlabelbased/20241029-041835,0.94805,0.25236
99999,0.001,0.0001,0.01,-1,150,7,Experiment Path: ./logs/energy_efficiency/seed_7/voronoi/softlabelbased/20241029-041835,0.53247,0.03425
99999,0.001,0.0001,0.01,-1,150,7,Experiment Path: ./logs/energy_efficiency/seed_7/voronoi/softlabelbased/20241029-041835,0.16883,0.00800
99999,0.001,0.0001,0.01,-1,150,8,Experiment Path: ./logs/energy_efficiency/seed_8/voronoi/softlabelbased/20241029-042258,0.81818,0.18861
99999,0.001,0.0001,0.01,-1,150,8,Experiment Path: ./logs/energy_efficiency/seed_8/voronoi/softlabelbased/20241029-042258,0.50649,0.04133
99999,0.001,0.0001,0.01,-1,150,8,Experiment Path: ./logs/energy_efficiency/seed_8/voronoi/softlabelbased/20241029-042258,0.06494,0.00666
99999,0.001,0.0001,0.01,-1,150,9,Experiment Path: ./logs/energy_efficiency/seed_9/voronoi/softlabelbased/20241029-042300,0.92208,0.17875
99999,0.001,0.0001,0.01,-1,150,9,Experiment Path: ./logs/energy_efficiency/seed_9/voronoi/softlabelbased/20241029-042300,0.63636,0.03526
99999,0.001,0.0001,0.01,-1,150,9,Experiment Path: ./logs/energy_efficiency/seed_9/voronoi/softlabelbased/20241029-042300,0.16883,0.00780
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/energy_efficiency/seed_0/voronoi/softlabelbased/20241029-042316,0.90909,0.17847
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/energy_efficiency/seed_0/voronoi/softlabelbased/20241029-042316,0.51948,0.02870
