add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/MEPS_20/seed_0/voronoi/softlabelbased/20241028-235744,0.90821,0.78629
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/MEPS_20/seed_0/voronoi/softlabelbased/20241028-235744,0.52166,0.29391
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/MEPS_20/seed_0/voronoi/softlabelbased/20241028-235744,0.10718,0.06214
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/MEPS_20/seed_1/voronoi/softlabelbased/20241028-235744,0.88997,0.82719
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/MEPS_20/seed_1/voronoi/softlabelbased/20241028-235744,0.49943,0.29606
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/MEPS_20/seed_1/voronoi/softlabelbased/20241028-235744,0.09920,0.07001
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/MEPS_20/seed_2/voronoi/softlabelbased/20241028-235744,0.89339,0.90258
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/MEPS_20/seed_2/voronoi/softlabelbased/20241028-235744,0.49373,0.31464
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/MEPS_20/seed_2/voronoi/softlabelbased/20241028-235744,0.10490,0.07065
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/MEPS_20/seed_3/voronoi/softlabelbased/20241028-235744,0.91277,0.82716
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/MEPS_20/seed_3/voronoi/softlabelbased/20241028-235744,0.52737,0.29155
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/MEPS_20/seed_3/voronoi/softlabelbased/20241028-235744,0.10604,0.06497
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/MEPS_20/seed_4/voronoi/softlabelbased/20241028-235802,0.89225,0.75956
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/MEPS_20/seed_4/voronoi/softlabelbased/20241028-235802,0.51254,0.30453
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/MEPS_20/seed_4/voronoi/softlabelbased/20241028-235802,0.09179,0.06558
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/MEPS_20/seed_5/voronoi/softlabelbased/20241028-235803,0.89111,0.81034
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/MEPS_20/seed_5/voronoi/softlabelbased/20241028-235803,0.50513,0.29631
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/MEPS_20/seed_5/voronoi/softlabelbased/20241028-235803,0.10091,0.06421
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/MEPS_20/seed_6/voronoi/softlabelbased/20241028-235804,0.90308,0.87144
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/MEPS_20/seed_6/voronoi/softlabelbased/20241028-235804,0.50684,0.32029
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/MEPS_20/seed_6/voronoi/softlabelbased/20241028-235804,0.09863,0.07155
