add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/softlabelbased/20241028-232230,0.91500,0.49403
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/softlabelbased/20241028-232230,0.54100,0.21897
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/softlabelbased/20241028-232230,0.18200,0.05309
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/softlabelbased/20241028-232230,0.91800,0.49350
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/softlabelbased/20241028-232230,0.56400,0.22351
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/softlabelbased/20241028-232230,0.17000,0.05513
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/softlabelbased/20241028-232230,0.91500,0.49843
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/softlabelbased/20241028-232230,0.53750,0.20727
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/softlabelbased/20241028-232230,0.15350,0.05073
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/softlabelbased/20241028-232230,0.91800,0.48998
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/softlabelbased/20241028-232230,0.51550,0.21682
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/softlabelbased/20241028-232230,0.15750,0.05225
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/softlabelbased/20241028-232248,0.96000,0.55008
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/softlabelbased/20241028-232248,0.56100,0.21667
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/softlabelbased/20241028-232248,0.16150,0.05087
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/softlabelbased/20241028-232249,0.91600,0.49298
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/softlabelbased/20241028-232249,0.51350,0.21507
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/softlabelbased/20241028-232249,0.15800,0.05270
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/softlabelbased/20241028-232250,0.95300,0.53861
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/softlabelbased/20241028-232250,0.55150,0.20998
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/softlabelbased/20241028-232250,0.17200,0.05309
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/softlabelbased/20241028-232250,0.93200,0.50146
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/softlabelbased/20241028-232250,0.54400,0.21255
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/softlabelbased/20241028-232250,0.17400,0.05375
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/softlabelbased/20241028-232305,0.92100,0.50905
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/softlabelbased/20241028-232305,0.58300,0.22542
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/softlabelbased/20241028-232305,0.16750,0.05200
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/softlabelbased/20241028-232307,0.90350,0.49545
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/softlabelbased/20241028-232307,0.54450,0.20881
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/softlabelbased/20241028-232307,0.15850,0.05069
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/softlabelbased/20241028-232307,0.93800,0.50725
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/softlabelbased/20241028-232307,0.53050,0.20099
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/softlabelbased/20241028-232307,0.15950,0.05013
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/softlabelbased/20241028-232307,0.89850,0.45615
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/softlabelbased/20241028-232307,0.55250,0.20086
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/softlabelbased/20241028-232307,0.17550,0.05014
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/softlabelbased/20241028-232321,0.91450,0.45438
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/softlabelbased/20241028-232321,0.55100,0.20166
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/softlabelbased/20241028-232321,0.16350,0.05029
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/softlabelbased/20241028-232324,0.94300,0.50471
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/softlabelbased/20241028-232324,0.54000,0.20127
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/softlabelbased/20241028-232324,0.16650,0.05060
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/softlabelbased/20241028-232324,0.94550,0.50507
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/softlabelbased/20241028-232324,0.52350,0.20077
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/softlabelbased/20241028-232324,0.16900,0.05002
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/softlabelbased/20241028-232325,0.91600,0.50715
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/softlabelbased/20241028-232325,0.50100,0.20229
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/softlabelbased/20241028-232325,0.15300,0.05010
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/softlabelbased/20241028-232337,0.93800,0.50799
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/softlabelbased/20241028-232337,0.54000,0.20190
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/softlabelbased/20241028-232337,0.16050,0.05036
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/softlabelbased/20241028-232342,0.94200,0.50675
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/softlabelbased/20241028-232342,0.53000,0.20164
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/softlabelbased/20241028-232342,0.16300,0.05027
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/softlabelbased/20241028-232342,0.94150,0.50460
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/softlabelbased/20241028-232342,0.55600,0.20263
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/softlabelbased/20241028-232342,0.17600,0.05065
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/softlabelbased/20241028-232343,0.93600,0.50792
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/softlabelbased/20241028-232343,0.52450,0.20105
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/softlabelbased/20241028-232343,0.16750,0.05038
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/softlabelbased/20241028-232352,0.92150,0.50714
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/softlabelbased/20241028-232352,0.53750,0.20727
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/softlabelbased/20241028-232352,0.15350,0.05073
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/softlabelbased/20241028-232359,0.91500,0.49403
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/softlabelbased/20241028-232359,0.54850,0.21025
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/softlabelbased/20241028-232359,0.18200,0.05309
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/softlabelbased/20241028-232400,0.92700,0.49076
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/softlabelbased/20241028-232400,0.58350,0.21175
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/softlabelbased/20241028-232400,0.15750,0.05225
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/softlabelbased/20241028-232400,0.92300,0.49594
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/softlabelbased/20241028-232400,0.58600,0.22089
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/softlabelbased/20241028-232400,0.17000,0.05513
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/softlabelbased/20241028-232408,0.92950,0.50140
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/softlabelbased/20241028-232408,0.56100,0.21667
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/softlabelbased/20241028-232408,0.16150,0.05087
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/softlabelbased/20241028-232415,0.91600,0.49298
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/softlabelbased/20241028-232415,0.51450,0.21509
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/softlabelbased/20241028-232415,0.13900,0.05321
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/softlabelbased/20241028-232417,0.91200,0.48806
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/softlabelbased/20241028-232417,0.55150,0.20998
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/softlabelbased/20241028-232417,0.17200,0.05309
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/softlabelbased/20241028-232417,0.91900,0.49728
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/softlabelbased/20241028-232417,0.54400,0.21255
