add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
120,0.001,0.0001,0.1,-1,250,5,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_5/voronoi/softlabelbased/20241031-051508,0.91250,3.45483
120,0.001,0.0001,0.1,-1,250,5,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_5/voronoi/softlabelbased/20241031-051508,0.51937,1.02471
120,0.001,0.0001,0.1,-1,250,5,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_5/voronoi/softlabelbased/20241031-051508,0.09781,0.12987
120,0.001,0.0001,0.1,-1,250,4,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_4/voronoi/softlabelbased/20241031-051505,0.89719,3.30780
120,0.001,0.0001,0.1,-1,250,4,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_4/voronoi/softlabelbased/20241031-051505,0.49312,0.93545
120,0.001,0.0001,0.1,-1,250,4,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_4/voronoi/softlabelbased/20241031-051505,0.10000,0.13591
120,0.001,0.0001,0.1,-1,250,0,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_0/voronoi/softlabelbased/20241031-051457,0.90937,3.43577
120,0.001,0.0001,0.1,-1,250,0,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_0/voronoi/softlabelbased/20241031-051457,0.51437,0.98837
120,0.001,0.0001,0.1,-1,250,0,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_0/voronoi/softlabelbased/20241031-051457,0.10281,0.13041
120,0.001,0.0001,0.1,-1,250,2,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_2/voronoi/softlabelbased/20241031-051503,0.91375,3.48511
120,0.001,0.0001,0.1,-1,250,2,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_2/voronoi/softlabelbased/20241031-051503,0.53000,1.03004
120,0.001,0.0001,0.1,-1,250,2,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_2/voronoi/softlabelbased/20241031-051503,0.11062,0.13382
120,0.001,0.0001,0.1,-1,250,3,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_3/voronoi/softlabelbased/20241031-051505,0.89375,3.25714
120,0.001,0.0001,0.1,-1,250,3,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_3/voronoi/softlabelbased/20241031-051505,0.47875,0.95766
120,0.001,0.0001,0.1,-1,250,3,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_3/voronoi/softlabelbased/20241031-051505,0.08750,0.12524
120,0.001,0.0001,0.1,-1,250,1,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_1/voronoi/softlabelbased/20241031-051501,0.90031,3.33753
120,0.001,0.0001,0.1,-1,250,1,Experiment Path: ./logs/Unconditional_2d_data_outlier_1000/seed_1/voronoi/softlabelbased/20241031-051501,0.48969,0.96112
