add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/white_wine/seed_2/voronoi/softlabelbased/20241028-231109,0.90154,0.52353
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/white_wine/seed_2/voronoi/softlabelbased/20241028-231109,0.49692,0.16329
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/white_wine/seed_2/voronoi/softlabelbased/20241028-231109,0.12154,0.04804
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/white_wine/seed_3/voronoi/softlabelbased/20241028-231109,0.91692,0.63796
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/white_wine/seed_3/voronoi/softlabelbased/20241028-231109,0.50154,0.17269
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/white_wine/seed_3/voronoi/softlabelbased/20241028-231109,0.10615,0.03537
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/white_wine/seed_0/voronoi/softlabelbased/20241028-231109,0.92000,0.67107
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/white_wine/seed_0/voronoi/softlabelbased/20241028-231109,0.50308,0.19709
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/white_wine/seed_0/voronoi/softlabelbased/20241028-231109,0.10615,0.04704
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/white_wine/seed_1/voronoi/softlabelbased/20241028-231109,0.88615,0.53569
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/white_wine/seed_1/voronoi/softlabelbased/20241028-231109,0.48154,0.16686
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/white_wine/seed_1/voronoi/softlabelbased/20241028-231109,0.09692,0.03693
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/white_wine/seed_4/voronoi/softlabelbased/20241028-231125,0.88923,0.57460
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/white_wine/seed_4/voronoi/softlabelbased/20241028-231125,0.45846,0.16747
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/white_wine/seed_4/voronoi/softlabelbased/20241028-231125,0.08769,0.04049
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/white_wine/seed_5/voronoi/softlabelbased/20241028-231127,0.89077,0.57559
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/white_wine/seed_5/voronoi/softlabelbased/20241028-231127,0.45231,0.18513
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/white_wine/seed_5/voronoi/softlabelbased/20241028-231127,0.08462,0.04050
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/white_wine/seed_7/voronoi/softlabelbased/20241028-231127,0.89077,0.54521
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/white_wine/seed_7/voronoi/softlabelbased/20241028-231127,0.51231,0.18912
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/white_wine/seed_7/voronoi/softlabelbased/20241028-231127,0.10154,0.04723
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/white_wine/seed_6/voronoi/softlabelbased/20241028-231127,0.85846,0.51179
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/white_wine/seed_6/voronoi/softlabelbased/20241028-231127,0.48615,0.17708
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/white_wine/seed_6/voronoi/softlabelbased/20241028-231127,0.10923,0.04122
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/white_wine/seed_8/voronoi/softlabelbased/20241028-231141,0.91846,0.56225
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/white_wine/seed_8/voronoi/softlabelbased/20241028-231141,0.50000,0.16508
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/white_wine/seed_8/voronoi/softlabelbased/20241028-231141,0.09077,0.03739
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/white_wine/seed_9/voronoi/softlabelbased/20241028-231144,0.90769,0.64656
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/white_wine/seed_9/voronoi/softlabelbased/20241028-231144,0.54769,0.19500
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/white_wine/seed_9/voronoi/softlabelbased/20241028-231144,0.06923,0.03531
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/white_wine/seed_0/voronoi/softlabelbased/20241028-231145,0.92308,0.63270
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/white_wine/seed_0/voronoi/softlabelbased/20241028-231145,0.51538,0.17197
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/white_wine/seed_0/voronoi/softlabelbased/20241028-231145,0.10000,0.03840
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/white_wine/seed_1/voronoi/softlabelbased/20241028-231145,0.88923,0.58231
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/white_wine/seed_1/voronoi/softlabelbased/20241028-231145,0.50308,0.16722
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/white_wine/seed_1/voronoi/softlabelbased/20241028-231145,0.12769,0.04598
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/white_wine/seed_2/voronoi/softlabelbased/20241028-231156,0.91692,0.58850
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/white_wine/seed_2/voronoi/softlabelbased/20241028-231156,0.50462,0.16333
