add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,seed,device,cov_value,PINAW_value
50,0.001,0.0001,0.01,7,cuda:3,0.89453,2.65885
50,0.001,0.0001,0.01,7,cuda:3,0.48347,0.48091
50,0.001,0.0001,0.01,7,cuda:3,0.09806,0.03870
50,0.001,0.0001,0.01,3,cuda:3,0.91334,2.69952
50,0.001,0.0001,0.01,3,cuda:3,0.51026,0.50962
50,0.001,0.0001,0.01,3,cuda:3,0.11345,0.03832
50,0.001,0.0001,0.01,1,cuda:1,0.88883,2.12142
50,0.001,0.0001,0.01,1,cuda:1,0.47548,0.46503
50,0.001,0.0001,0.01,1,cuda:1,0.08552,0.04128
50,0.001,0.0001,0.01,4,cuda:0,0.88655,2.68442
50,0.001,0.0001,0.01,4,cuda:0,0.49487,0.59475
50,0.001,0.0001,0.01,4,cuda:0,0.08780,0.03320
50,0.001,0.0001,0.01,0,cuda:0,0.90593,2.90301
50,0.001,0.0001,0.01,0,cuda:0,0.50798,0.95906
50,0.001,0.0001,0.01,0,cuda:0,0.11745,0.05169
50,0.001,0.0001,0.01,6,cuda:2,0.89510,2.70187
50,0.001,0.0001,0.01,6,cuda:2,0.52166,0.91376
50,0.001,0.0001,0.01,6,cuda:2,0.09806,0.05259
50,0.001,0.0001,0.01,5,cuda:1,0.89567,2.77425
50,0.001,0.0001,0.01,5,cuda:1,0.49202,0.93228
50,0.001,0.0001,0.01,5,cuda:1,0.09464,0.05983
50,0.001,0.0001,0.01,2,cuda:2,0.89738,2.93321
50,0.001,0.0001,0.01,2,cuda:2,0.49544,0.52351
50,0.001,0.0001,0.01,2,cuda:2,0.08438,0.04589
50,0.001,0.0001,0.01,9,cuda:1,0.91220,3.03500
50,0.001,0.0001,0.01,9,cuda:1,0.50114,0.82274
50,0.001,0.0001,0.01,9,cuda:1,0.10547,0.04948
50,0.001,0.0001,0.01,8,cuda:0,0.90080,2.35295
50,0.001,0.0001,0.01,8,cuda:0,0.49373,0.57610
50,0.001,0.0001,0.01,8,cuda:0,0.09350,0.06506
50,0.001,0.0001,0.002,0,cuda:2,0.90365,2.78848
50,0.001,0.0001,0.002,0,cuda:2,0.51026,0.93630
50,0.001,0.0001,0.002,0,cuda:2,0.10376,0.03251
50,0.001,0.0001,0.002,3,cuda:1,0.91334,2.68742
50,0.001,0.0001,0.002,3,cuda:1,0.50684,0.47150
50,0.001,0.0001,0.002,3,cuda:1,0.10433,0.01507
