add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
50,0.001,0.0001,0.01,-1,150,6,Experiment Path: ./logs/Bike_Sharing/seed_6/voronoi/softlabelbased/20241003-201512,0.90967,2.10323
50,0.001,0.0001,0.01,-1,150,6,Experiment Path: ./logs/Bike_Sharing/seed_6/voronoi/softlabelbased/20241003-201512,0.47699,0.52539
50,0.001,0.0001,0.01,-1,150,6,Experiment Path: ./logs/Bike_Sharing/seed_6/voronoi/softlabelbased/20241003-201512,0.08458,0.06975
50,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/Bike_Sharing/seed_2/voronoi/softlabelbased/20241003-201511,0.91715,2.26592
50,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/Bike_Sharing/seed_2/voronoi/softlabelbased/20241003-201511,0.53222,0.56070
50,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/Bike_Sharing/seed_2/voronoi/softlabelbased/20241003-201511,0.09954,0.06803
50,0.001,0.0001,0.01,-1,150,7,Experiment Path: ./logs/Bike_Sharing/seed_7/voronoi/softlabelbased/20241003-201513,0.91715,2.30702
50,0.001,0.0001,0.01,-1,150,7,Experiment Path: ./logs/Bike_Sharing/seed_7/voronoi/softlabelbased/20241003-201513,0.54891,0.65013
50,0.001,0.0001,0.01,-1,150,7,Experiment Path: ./logs/Bike_Sharing/seed_7/voronoi/softlabelbased/20241003-201513,0.10875,0.09321
50,0.001,0.0001,0.01,-1,150,9,Experiment Path: ./logs/Bike_Sharing/seed_9/voronoi/softlabelbased/20241003-201512,0.89643,2.08989
50,0.001,0.0001,0.01,-1,150,9,Experiment Path: ./logs/Bike_Sharing/seed_9/voronoi/softlabelbased/20241003-201512,0.48044,0.55352
50,0.001,0.0001,0.01,-1,150,9,Experiment Path: ./logs/Bike_Sharing/seed_9/voronoi/softlabelbased/20241003-201512,0.08631,0.07279
50,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/Bike_Sharing/seed_0/voronoi/softlabelbased/20241003-201512,0.89586,2.14740
50,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/Bike_Sharing/seed_0/voronoi/softlabelbased/20241003-201512,0.48677,0.58656
50,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/Bike_Sharing/seed_0/voronoi/softlabelbased/20241003-201512,0.09148,0.07704
50,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/Bike_Sharing/seed_1/voronoi/softlabelbased/20241003-201513,0.90449,2.14980
50,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/Bike_Sharing/seed_1/voronoi/softlabelbased/20241003-201513,0.50863,0.56727
50,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/Bike_Sharing/seed_1/voronoi/softlabelbased/20241003-201513,0.08113,0.04529
50,0.001,0.0001,0.01,-1,150,8,Experiment Path: ./logs/Bike_Sharing/seed_8/voronoi/softlabelbased/20241003-201512,0.89758,2.12802
50,0.001,0.0001,0.01,-1,150,8,Experiment Path: ./logs/Bike_Sharing/seed_8/voronoi/softlabelbased/20241003-201512,0.48562,0.56557
50,0.001,0.0001,0.01,-1,150,8,Experiment Path: ./logs/Bike_Sharing/seed_8/voronoi/softlabelbased/20241003-201512,0.09839,0.07892
50,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/Bike_Sharing/seed_3/voronoi/softlabelbased/20241003-201515,0.88435,2.02320
50,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/Bike_Sharing/seed_3/voronoi/softlabelbased/20241003-201515,0.50000,0.54805
50,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/Bike_Sharing/seed_3/voronoi/softlabelbased/20241003-201515,0.08343,0.06559
50,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/Bike_Sharing/seed_5/voronoi/softlabelbased/20241003-201513,0.89931,2.23650
50,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/Bike_Sharing/seed_5/voronoi/softlabelbased/20241003-201513,0.45167,0.52378
50,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/Bike_Sharing/seed_5/voronoi/softlabelbased/20241003-201513,0.10012,0.07419
50,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/Bike_Sharing/seed_4/voronoi/softlabelbased/20241003-201512,0.91427,2.19231
50,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/Bike_Sharing/seed_4/voronoi/softlabelbased/20241003-201512,0.50173,0.51429
50,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/Bike_Sharing/seed_4/voronoi/softlabelbased/20241003-201512,0.10587,0.06321
50,0.001,0.0001,0.01,-1,300,0,Experiment Path: ./logs/Bike_Sharing/seed_0/voronoi/softlabelbased/20241003-201513,0.90219,2.27783
50,0.001,0.0001,0.01,-1,300,0,Experiment Path: ./logs/Bike_Sharing/seed_0/voronoi/softlabelbased/20241003-201513,0.51784,0.61295
50,0.001,0.0001,0.01,-1,300,0,Experiment Path: ./logs/Bike_Sharing/seed_0/voronoi/softlabelbased/20241003-201513,0.09609,0.08611
