add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
50,0.001,0.0001,0.001,-1,150,6,Experiment Path: ./logs/Energy_Efficiency/seed_6/voronoi/softlabelbased/20241010-011812,0.87013,0.17661
50,0.001,0.0001,0.001,-1,150,6,Experiment Path: ./logs/Energy_Efficiency/seed_6/voronoi/softlabelbased/20241010-011812,0.46753,0.04021
50,0.001,0.0001,0.001,-1,150,6,Experiment Path: ./logs/Energy_Efficiency/seed_6/voronoi/softlabelbased/20241010-011812,0.09091,0.00595
50,0.001,0.0001,0.001,-1,150,8,Experiment Path: ./logs/Energy_Efficiency/seed_8/voronoi/softlabelbased/20241010-011811,0.81818,0.21281
50,0.001,0.0001,0.001,-1,150,8,Experiment Path: ./logs/Energy_Efficiency/seed_8/voronoi/softlabelbased/20241010-011811,0.46753,0.03867
50,0.001,0.0001,0.001,-1,150,8,Experiment Path: ./logs/Energy_Efficiency/seed_8/voronoi/softlabelbased/20241010-011811,0.09091,0.00744
50,0.001,0.0001,0.001,-1,150,3,Experiment Path: ./logs/Energy_Efficiency/seed_3/voronoi/softlabelbased/20241010-011810,0.94805,0.23053
50,0.001,0.0001,0.001,-1,150,3,Experiment Path: ./logs/Energy_Efficiency/seed_3/voronoi/softlabelbased/20241010-011810,0.48052,0.03641
50,0.001,0.0001,0.001,-1,150,3,Experiment Path: ./logs/Energy_Efficiency/seed_3/voronoi/softlabelbased/20241010-011810,0.09091,0.00539
50,0.001,0.0001,0.001,-1,150,4,Experiment Path: ./logs/Energy_Efficiency/seed_4/voronoi/softlabelbased/20241010-011812,0.98701,0.22177
50,0.001,0.0001,0.001,-1,150,4,Experiment Path: ./logs/Energy_Efficiency/seed_4/voronoi/softlabelbased/20241010-011812,0.61039,0.03043
50,0.001,0.0001,0.001,-1,150,4,Experiment Path: ./logs/Energy_Efficiency/seed_4/voronoi/softlabelbased/20241010-011812,0.16883,0.00535
50,0.001,0.0001,0.001,-1,150,2,Experiment Path: ./logs/Energy_Efficiency/seed_2/voronoi/softlabelbased/20241010-011814,1.00000,0.27457
50,0.001,0.0001,0.001,-1,150,2,Experiment Path: ./logs/Energy_Efficiency/seed_2/voronoi/softlabelbased/20241010-011814,0.41558,0.03154
50,0.001,0.0001,0.001,-1,150,2,Experiment Path: ./logs/Energy_Efficiency/seed_2/voronoi/softlabelbased/20241010-011814,0.03896,0.00264
50,0.001,0.0001,0.001,-1,150,0,Experiment Path: ./logs/Energy_Efficiency/seed_0/voronoi/softlabelbased/20241010-011810,0.87013,0.18107
50,0.001,0.0001,0.001,-1,150,0,Experiment Path: ./logs/Energy_Efficiency/seed_0/voronoi/softlabelbased/20241010-011810,0.42857,0.02835
50,0.001,0.0001,0.001,-1,150,0,Experiment Path: ./logs/Energy_Efficiency/seed_0/voronoi/softlabelbased/20241010-011810,0.03896,0.00214
50,0.001,0.0001,0.001,-1,150,7,Experiment Path: ./logs/Energy_Efficiency/seed_7/voronoi/softlabelbased/20241010-011810,0.97403,0.32026
50,0.001,0.0001,0.001,-1,150,7,Experiment Path: ./logs/Energy_Efficiency/seed_7/voronoi/softlabelbased/20241010-011810,0.58442,0.04800
50,0.001,0.0001,0.001,-1,150,7,Experiment Path: ./logs/Energy_Efficiency/seed_7/voronoi/softlabelbased/20241010-011810,0.16883,0.00710
50,0.001,0.0001,0.001,-1,150,1,Experiment Path: ./logs/Energy_Efficiency/seed_1/voronoi/softlabelbased/20241010-011811,0.92208,0.22367
50,0.001,0.0001,0.001,-1,150,1,Experiment Path: ./logs/Energy_Efficiency/seed_1/voronoi/softlabelbased/20241010-011811,0.59740,0.05213
50,0.001,0.0001,0.001,-1,150,1,Experiment Path: ./logs/Energy_Efficiency/seed_1/voronoi/softlabelbased/20241010-011811,0.19481,0.00910
50,0.001,0.0001,0.001,-1,150,5,Experiment Path: ./logs/Energy_Efficiency/seed_5/voronoi/softlabelbased/20241010-011811,0.98701,0.28557
50,0.001,0.0001,0.001,-1,150,5,Experiment Path: ./logs/Energy_Efficiency/seed_5/voronoi/softlabelbased/20241010-011811,0.49351,0.03274
50,0.001,0.0001,0.001,-1,150,5,Experiment Path: ./logs/Energy_Efficiency/seed_5/voronoi/softlabelbased/20241010-011811,0.06494,0.00545
50,0.001,0.0001,0.001,-1,150,9,Experiment Path: ./logs/Energy_Efficiency/seed_9/voronoi/softlabelbased/20241010-011811,0.90909,0.21542
50,0.001,0.0001,0.001,-1,150,9,Experiment Path: ./logs/Energy_Efficiency/seed_9/voronoi/softlabelbased/20241010-011811,0.62338,0.05613
50,0.001,0.0001,0.001,-1,150,9,Experiment Path: ./logs/Energy_Efficiency/seed_9/voronoi/softlabelbased/20241010-011811,0.10390,0.00560
50,0.001,0.0001,0.001,-1,300,0,Experiment Path: ./logs/Energy_Efficiency/seed_0/voronoi/softlabelbased/20241010-011812,0.90909,0.16218
50,0.001,0.0001,0.001,-1,300,0,Experiment Path: ./logs/Energy_Efficiency/seed_0/voronoi/softlabelbased/20241010-011812,0.54545,0.02120
50,0.001,0.0001,0.001,-1,300,0,Experiment Path: ./logs/Energy_Efficiency/seed_0/voronoi/softlabelbased/20241010-011812,0.09091,0.00395
50,0.001,0.0001,0.001,-1,300,1,Experiment Path: ./logs/Energy_Efficiency/seed_1/voronoi/softlabelbased/20241010-011813,0.93506,0.15768
50,0.001,0.0001,0.001,-1,300,1,Experiment Path: ./logs/Energy_Efficiency/seed_1/voronoi/softlabelbased/20241010-011813,0.62338,0.02645
50,0.001,0.0001,0.001,-1,300,1,Experiment Path: ./logs/Energy_Efficiency/seed_1/voronoi/softlabelbased/20241010-011813,0.23377,0.00620
50,0.001,0.0001,0.001,256,150,1,Experiment Path: ./logs/Energy_Efficiency/seed_1/voronoi/softlabelbased/20241010-012556,0.92208,0.20131
50,0.001,0.0001,0.001,256,150,1,Experiment Path: ./logs/Energy_Efficiency/seed_1/voronoi/softlabelbased/20241010-012556,0.50649,0.02086
50,0.001,0.0001,0.001,256,150,1,Experiment Path: ./logs/Energy_Efficiency/seed_1/voronoi/softlabelbased/20241010-012556,0.07792,0.00503
50,0.001,0.0001,0.001,256,150,0,Experiment Path: ./logs/Energy_Efficiency/seed_0/voronoi/softlabelbased/20241010-012555,0.93506,0.13502
50,0.001,0.0001,0.001,256,150,0,Experiment Path: ./logs/Energy_Efficiency/seed_0/voronoi/softlabelbased/20241010-012555,0.49351,0.02093
50,0.001,0.0001,0.001,256,150,0,Experiment Path: ./logs/Energy_Efficiency/seed_0/voronoi/softlabelbased/20241010-012555,0.05195,0.00180
50,0.001,0.0001,0.001,-1,300,3,Experiment Path: ./logs/Energy_Efficiency/seed_3/voronoi/softlabelbased/20241010-012533,0.94805,0.11767
50,0.001,0.0001,0.001,-1,300,3,Experiment Path: ./logs/Energy_Efficiency/seed_3/voronoi/softlabelbased/20241010-012533,0.42857,0.02053
50,0.001,0.0001,0.001,-1,300,3,Experiment Path: ./logs/Energy_Efficiency/seed_3/voronoi/softlabelbased/20241010-012533,0.03896,0.00343
50,0.001,0.0001,0.001,-1,300,8,Experiment Path: ./logs/Energy_Efficiency/seed_8/voronoi/softlabelbased/20241010-012542,0.89610,0.12199
50,0.001,0.0001,0.001,-1,300,8,Experiment Path: ./logs/Energy_Efficiency/seed_8/voronoi/softlabelbased/20241010-012542,0.35065,0.01573
50,0.001,0.0001,0.001,-1,300,8,Experiment Path: ./logs/Energy_Efficiency/seed_8/voronoi/softlabelbased/20241010-012542,0.02597,0.00200
50,0.001,0.0001,0.001,-1,300,9,Experiment Path: ./logs/Energy_Efficiency/seed_9/voronoi/softlabelbased/20241010-012548,0.93506,0.17463
