add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
50,0.001,0.0001,0.001,-1,150,8,Experiment Path: ./logs/MEPS_21/seed_8/voronoi/softlabelbased/20241009-044157,0.92784,2.94867
50,0.001,0.0001,0.001,-1,150,8,Experiment Path: ./logs/MEPS_21/seed_8/voronoi/softlabelbased/20241009-044157,0.51596,0.46282
50,0.001,0.0001,0.001,-1,150,8,Experiment Path: ./logs/MEPS_21/seed_8/voronoi/softlabelbased/20241009-044157,0.10664,0.01593
50,0.001,0.0001,0.001,-1,150,9,Experiment Path: ./logs/MEPS_21/seed_9/voronoi/softlabelbased/20241009-044157,0.89719,2.69727
50,0.001,0.0001,0.001,-1,150,9,Experiment Path: ./logs/MEPS_21/seed_9/voronoi/softlabelbased/20241009-044157,0.51533,0.43001
50,0.001,0.0001,0.001,-1,150,9,Experiment Path: ./logs/MEPS_21/seed_9/voronoi/softlabelbased/20241009-044157,0.09451,0.01291
50,0.001,0.0001,0.001,-1,150,1,Experiment Path: ./logs/MEPS_21/seed_1/voronoi/softlabelbased/20241009-044159,0.89911,2.60805
50,0.001,0.0001,0.001,-1,150,1,Experiment Path: ./logs/MEPS_21/seed_1/voronoi/softlabelbased/20241009-044159,0.50639,0.48800
50,0.001,0.0001,0.001,-1,150,1,Experiment Path: ./logs/MEPS_21/seed_1/voronoi/softlabelbased/20241009-044159,0.11750,0.01715
50,0.001,0.0001,0.001,-1,150,6,Experiment Path: ./logs/MEPS_21/seed_6/voronoi/softlabelbased/20241009-044157,0.89527,2.51705
50,0.001,0.0001,0.001,-1,150,6,Experiment Path: ./logs/MEPS_21/seed_6/voronoi/softlabelbased/20241009-044157,0.49298,0.70516
50,0.001,0.0001,0.001,-1,150,6,Experiment Path: ./logs/MEPS_21/seed_6/voronoi/softlabelbased/20241009-044157,0.09387,0.00996
50,0.001,0.0001,0.001,-1,150,0,Experiment Path: ./logs/MEPS_21/seed_0/voronoi/softlabelbased/20241009-044159,0.88953,2.83960
50,0.001,0.0001,0.001,-1,150,0,Experiment Path: ./logs/MEPS_21/seed_0/voronoi/softlabelbased/20241009-044159,0.49489,0.43358
50,0.001,0.0001,0.001,-1,150,0,Experiment Path: ./logs/MEPS_21/seed_0/voronoi/softlabelbased/20241009-044159,0.10856,0.01294
50,0.001,0.0001,0.001,-1,150,4,Experiment Path: ./logs/MEPS_21/seed_4/voronoi/softlabelbased/20241009-044157,0.91124,2.60884
50,0.001,0.0001,0.001,-1,150,4,Experiment Path: ./logs/MEPS_21/seed_4/voronoi/softlabelbased/20241009-044157,0.49617,0.39213
50,0.001,0.0001,0.001,-1,150,4,Experiment Path: ./logs/MEPS_21/seed_4/voronoi/softlabelbased/20241009-044157,0.12069,0.01411
50,0.001,0.0001,0.001,-1,150,5,Experiment Path: ./logs/MEPS_21/seed_5/voronoi/softlabelbased/20241009-044156,0.90549,2.11174
50,0.001,0.0001,0.001,-1,150,5,Experiment Path: ./logs/MEPS_21/seed_5/voronoi/softlabelbased/20241009-044156,0.50894,0.46759
50,0.001,0.0001,0.001,-1,150,5,Experiment Path: ./logs/MEPS_21/seed_5/voronoi/softlabelbased/20241009-044156,0.10600,0.02883
50,0.001,0.0001,0.001,-1,150,2,Experiment Path: ./logs/MEPS_21/seed_2/voronoi/softlabelbased/20241009-044159,0.88506,2.67845
50,0.001,0.0001,0.001,-1,150,2,Experiment Path: ./logs/MEPS_21/seed_2/voronoi/softlabelbased/20241009-044159,0.48531,0.43028
50,0.001,0.0001,0.001,-1,150,2,Experiment Path: ./logs/MEPS_21/seed_2/voronoi/softlabelbased/20241009-044159,0.07918,0.01287
50,0.001,0.0001,0.001,-1,150,3,Experiment Path: ./logs/MEPS_21/seed_3/voronoi/softlabelbased/20241009-044158,0.88506,2.59776
50,0.001,0.0001,0.001,-1,150,3,Experiment Path: ./logs/MEPS_21/seed_3/voronoi/softlabelbased/20241009-044158,0.50255,0.60181
50,0.001,0.0001,0.001,-1,150,3,Experiment Path: ./logs/MEPS_21/seed_3/voronoi/softlabelbased/20241009-044158,0.09898,0.01205
50,0.001,0.0001,0.001,-1,150,7,Experiment Path: ./logs/MEPS_21/seed_7/voronoi/softlabelbased/20241009-044157,0.88953,2.59552
50,0.001,0.0001,0.001,-1,150,7,Experiment Path: ./logs/MEPS_21/seed_7/voronoi/softlabelbased/20241009-044157,0.49617,0.54715
50,0.001,0.0001,0.001,-1,150,7,Experiment Path: ./logs/MEPS_21/seed_7/voronoi/softlabelbased/20241009-044157,0.10600,0.02044
50,0.001,0.0001,0.001,-1,300,0,Experiment Path: ./logs/MEPS_21/seed_0/voronoi/softlabelbased/20241009-044158,0.88378,2.40991
50,0.001,0.0001,0.001,-1,300,0,Experiment Path: ./logs/MEPS_21/seed_0/voronoi/softlabelbased/20241009-044158,0.48020,0.45759
50,0.001,0.0001,0.001,-1,300,0,Experiment Path: ./logs/MEPS_21/seed_0/voronoi/softlabelbased/20241009-044158,0.08940,0.02993
50,0.001,0.0001,0.001,-1,300,1,Experiment Path: ./logs/MEPS_21/seed_1/voronoi/softlabelbased/20241009-044159,0.90421,2.49896
50,0.001,0.0001,0.001,-1,300,1,Experiment Path: ./logs/MEPS_21/seed_1/voronoi/softlabelbased/20241009-044159,0.50766,0.14042
50,0.001,0.0001,0.001,-1,300,1,Experiment Path: ./logs/MEPS_21/seed_1/voronoi/softlabelbased/20241009-044159,0.10728,0.00763
50,0.001,0.0001,0.001,-1,300,4,Experiment Path: ./logs/MEPS_21/seed_4/voronoi/softlabelbased/20241009-044249,0.91315,1.63300
50,0.001,0.0001,0.001,-1,300,4,Experiment Path: ./logs/MEPS_21/seed_4/voronoi/softlabelbased/20241009-044249,0.49872,0.32407
50,0.001,0.0001,0.001,-1,300,4,Experiment Path: ./logs/MEPS_21/seed_4/voronoi/softlabelbased/20241009-044249,0.12005,0.10033
50,0.001,0.0001,0.001,-1,300,2,Experiment Path: ./logs/MEPS_21/seed_2/voronoi/softlabelbased/20241009-044247,0.87165,3.58972
50,0.001,0.0001,0.001,-1,300,2,Experiment Path: ./logs/MEPS_21/seed_2/voronoi/softlabelbased/20241009-044247,0.49042,0.20732
50,0.001,0.0001,0.001,-1,300,2,Experiment Path: ./logs/MEPS_21/seed_2/voronoi/softlabelbased/20241009-044247,0.09579,0.06680
50,0.001,0.0001,0.001,-1,300,3,Experiment Path: ./logs/MEPS_21/seed_3/voronoi/softlabelbased/20241009-044248,0.88825,3.39225
50,0.001,0.0001,0.001,-1,300,3,Experiment Path: ./logs/MEPS_21/seed_3/voronoi/softlabelbased/20241009-044248,0.49808,0.33504
50,0.001,0.0001,0.001,-1,300,3,Experiment Path: ./logs/MEPS_21/seed_3/voronoi/softlabelbased/20241009-044248,0.09195,0.03494
50,0.001,0.0001,0.001,-1,300,7,Experiment Path: ./logs/MEPS_21/seed_7/voronoi/softlabelbased/20241009-044253,0.89400,3.48450
50,0.001,0.0001,0.001,-1,300,7,Experiment Path: ./logs/MEPS_21/seed_7/voronoi/softlabelbased/20241009-044253,0.48595,0.41866
50,0.001,0.0001,0.001,-1,300,7,Experiment Path: ./logs/MEPS_21/seed_7/voronoi/softlabelbased/20241009-044253,0.09387,0.06578
50,0.001,0.0001,0.001,-1,300,8,Experiment Path: ./logs/MEPS_21/seed_8/voronoi/softlabelbased/20241009-044253,0.89144,2.05281
50,0.001,0.0001,0.001,-1,300,8,Experiment Path: ./logs/MEPS_21/seed_8/voronoi/softlabelbased/20241009-044253,0.48851,0.13003
50,0.001,0.0001,0.001,-1,300,8,Experiment Path: ./logs/MEPS_21/seed_8/voronoi/softlabelbased/20241009-044253,0.11175,0.02385
50,0.001,0.0001,0.001,-1,300,5,Experiment Path: ./logs/MEPS_21/seed_5/voronoi/softlabelbased/20241009-044250,0.90613,3.29745
50,0.001,0.0001,0.001,-1,300,5,Experiment Path: ./logs/MEPS_21/seed_5/voronoi/softlabelbased/20241009-044250,0.50894,0.56600
50,0.001,0.0001,0.001,-1,300,5,Experiment Path: ./logs/MEPS_21/seed_5/voronoi/softlabelbased/20241009-044250,0.11111,0.06020
50,0.001,0.0001,0.001,-1,300,9,Experiment Path: ./logs/MEPS_21/seed_9/voronoi/softlabelbased/20241009-044252,0.90166,2.34751
