add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
100,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/unconditional_2d/seed_0/voronoi/softlabelbased/20241028-015830,0.90333,3.69782
100,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/unconditional_2d/seed_0/voronoi/softlabelbased/20241028-015830,0.50633,1.06704
100,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/unconditional_2d/seed_0/voronoi/softlabelbased/20241028-015830,0.11400,0.15046
100,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/unconditional_2d/seed_1/voronoi/softlabelbased/20241028-015832,0.90167,3.67978
100,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/unconditional_2d/seed_1/voronoi/softlabelbased/20241028-015832,0.50967,1.09481
100,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/unconditional_2d/seed_1/voronoi/softlabelbased/20241028-015832,0.11100,0.14347
100,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/unconditional_2d/seed_3/voronoi/softlabelbased/20241028-015840,0.91400,3.76805
100,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/unconditional_2d/seed_3/voronoi/softlabelbased/20241028-015840,0.53667,1.14088
100,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/unconditional_2d/seed_3/voronoi/softlabelbased/20241028-015840,0.10433,0.14904
100,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/unconditional_2d/seed_2/voronoi/softlabelbased/20241028-015839,0.89000,3.59103
100,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/unconditional_2d/seed_2/voronoi/softlabelbased/20241028-015839,0.51467,1.08288
100,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/unconditional_2d/seed_2/voronoi/softlabelbased/20241028-015839,0.11000,0.15134
100,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/unconditional_2d/seed_4/voronoi/softlabelbased/20241028-020304,0.90167,3.67921
100,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/unconditional_2d/seed_4/voronoi/softlabelbased/20241028-020304,0.50600,1.09646
100,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/unconditional_2d/seed_4/voronoi/softlabelbased/20241028-020304,0.08933,0.13152
100,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/unconditional_2d/seed_5/voronoi/softlabelbased/20241028-020306,0.90400,3.69832
100,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/unconditional_2d/seed_5/voronoi/softlabelbased/20241028-020306,0.48467,1.05139
100,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/unconditional_2d/seed_5/voronoi/softlabelbased/20241028-020306,0.10733,0.14547
100,0.001,0.0001,0.01,-1,150,6,Experiment Path: ./logs/unconditional_2d/seed_6/voronoi/softlabelbased/20241028-020309,0.88733,3.53865
100,0.001,0.0001,0.01,-1,150,6,Experiment Path: ./logs/unconditional_2d/seed_6/voronoi/softlabelbased/20241028-020309,0.47033,1.00007
100,0.001,0.0001,0.01,-1,150,6,Experiment Path: ./logs/unconditional_2d/seed_6/voronoi/softlabelbased/20241028-020309,0.09733,0.13814
100,0.001,0.0001,0.01,-1,150,7,Experiment Path: ./logs/unconditional_2d/seed_7/voronoi/softlabelbased/20241028-020312,0.90133,3.67870
100,0.001,0.0001,0.01,-1,150,7,Experiment Path: ./logs/unconditional_2d/seed_7/voronoi/softlabelbased/20241028-020312,0.49767,1.07881
100,0.001,0.0001,0.01,-1,150,7,Experiment Path: ./logs/unconditional_2d/seed_7/voronoi/softlabelbased/20241028-020312,0.10300,0.14148
100,0.001,0.0001,0.01,-1,150,8,Experiment Path: ./logs/unconditional_2d/seed_8/voronoi/softlabelbased/20241028-020735,0.90733,3.83959
100,0.001,0.0001,0.01,-1,150,8,Experiment Path: ./logs/unconditional_2d/seed_8/voronoi/softlabelbased/20241028-020735,0.48967,1.04767
100,0.001,0.0001,0.01,-1,150,8,Experiment Path: ./logs/unconditional_2d/seed_8/voronoi/softlabelbased/20241028-020735,0.10867,0.14511
100,0.001,0.0001,0.01,-1,150,9,Experiment Path: ./logs/unconditional_2d/seed_9/voronoi/softlabelbased/20241028-020740,0.90700,3.76647
100,0.001,0.0001,0.01,-1,150,9,Experiment Path: ./logs/unconditional_2d/seed_9/voronoi/softlabelbased/20241028-020740,0.48267,1.04742
100,0.001,0.0001,0.01,-1,150,9,Experiment Path: ./logs/unconditional_2d/seed_9/voronoi/softlabelbased/20241028-020740,0.10567,0.15003
100,0.001,0.0001,0.01,-1,300,0,Experiment Path: ./logs/unconditional_2d/seed_0/voronoi/softlabelbased/20241028-020743,0.90733,3.72987
100,0.001,0.0001,0.01,-1,300,0,Experiment Path: ./logs/unconditional_2d/seed_0/voronoi/softlabelbased/20241028-020743,0.52367,1.07882
100,0.001,0.0001,0.01,-1,300,0,Experiment Path: ./logs/unconditional_2d/seed_0/voronoi/softlabelbased/20241028-020743,0.10433,0.14359
100,0.001,0.0001,0.01,-1,300,1,Experiment Path: ./logs/unconditional_2d/seed_1/voronoi/softlabelbased/20241028-020745,0.90233,3.64703
100,0.001,0.0001,0.01,-1,300,1,Experiment Path: ./logs/unconditional_2d/seed_1/voronoi/softlabelbased/20241028-020745,0.50700,1.08341
100,0.001,0.0001,0.01,-1,300,1,Experiment Path: ./logs/unconditional_2d/seed_1/voronoi/softlabelbased/20241028-020745,0.11533,0.15101
100,0.001,0.0001,0.01,-1,300,3,Experiment Path: ./logs/unconditional_2d/seed_3/voronoi/softlabelbased/20241028-021212,0.91500,3.78463
100,0.001,0.0001,0.01,-1,300,3,Experiment Path: ./logs/unconditional_2d/seed_3/voronoi/softlabelbased/20241028-021212,0.53867,1.14381
100,0.001,0.0001,0.01,-1,300,3,Experiment Path: ./logs/unconditional_2d/seed_3/voronoi/softlabelbased/20241028-021212,0.10233,0.13866
100,0.001,0.0001,0.01,-1,300,2,Experiment Path: ./logs/unconditional_2d/seed_2/voronoi/softlabelbased/20241028-021210,0.88567,3.56652
100,0.001,0.0001,0.01,-1,300,2,Experiment Path: ./logs/unconditional_2d/seed_2/voronoi/softlabelbased/20241028-021210,0.51100,1.08225
100,0.001,0.0001,0.01,-1,300,2,Experiment Path: ./logs/unconditional_2d/seed_2/voronoi/softlabelbased/20241028-021210,0.10867,0.15003
100,0.001,0.0001,0.01,-1,300,4,Experiment Path: ./logs/unconditional_2d/seed_4/voronoi/softlabelbased/20241028-021530,0.90300,3.67610
100,0.001,0.0001,0.01,-1,300,4,Experiment Path: ./logs/unconditional_2d/seed_4/voronoi/softlabelbased/20241028-021530,0.50133,1.06381
100,0.001,0.0001,0.01,-1,300,4,Experiment Path: ./logs/unconditional_2d/seed_4/voronoi/softlabelbased/20241028-021530,0.10300,0.13910
100,0.001,0.0001,0.01,-1,300,5,Experiment Path: ./logs/unconditional_2d/seed_5/voronoi/softlabelbased/20241028-021540,0.90400,3.68507
100,0.001,0.0001,0.01,-1,300,5,Experiment Path: ./logs/unconditional_2d/seed_5/voronoi/softlabelbased/20241028-021540,0.49233,1.06309
100,0.001,0.0001,0.01,-1,300,5,Experiment Path: ./logs/unconditional_2d/seed_5/voronoi/softlabelbased/20241028-021540,0.11067,0.15792
100,0.001,0.0001,0.01,-1,300,6,Experiment Path: ./logs/unconditional_2d/seed_6/voronoi/softlabelbased/20241028-021959,0.89367,3.56784
100,0.001,0.0001,0.01,-1,300,6,Experiment Path: ./logs/unconditional_2d/seed_6/voronoi/softlabelbased/20241028-021959,0.47500,0.99760
100,0.001,0.0001,0.01,-1,300,6,Experiment Path: ./logs/unconditional_2d/seed_6/voronoi/softlabelbased/20241028-021959,0.09867,0.14078
100,0.001,0.0001,0.01,-1,300,7,Experiment Path: ./logs/unconditional_2d/seed_7/voronoi/softlabelbased/20241028-022006,0.90400,3.71377
100,0.001,0.0001,0.01,-1,300,7,Experiment Path: ./logs/unconditional_2d/seed_7/voronoi/softlabelbased/20241028-022006,0.50367,1.10696
100,0.001,0.0001,0.01,-1,300,7,Experiment Path: ./logs/unconditional_2d/seed_7/voronoi/softlabelbased/20241028-022006,0.10333,0.14185
100,0.001,0.0001,0.01,-1,300,8,Experiment Path: ./logs/unconditional_2d/seed_8/voronoi/softlabelbased/20241028-022312,0.90600,3.82984
100,0.001,0.0001,0.01,-1,300,8,Experiment Path: ./logs/unconditional_2d/seed_8/voronoi/softlabelbased/20241028-022312,0.48700,1.03417
100,0.001,0.0001,0.01,-1,300,8,Experiment Path: ./logs/unconditional_2d/seed_8/voronoi/softlabelbased/20241028-022312,0.10200,0.14789
100,0.001,0.0001,0.01,-1,300,9,Experiment Path: ./logs/unconditional_2d/seed_9/voronoi/softlabelbased/20241028-022327,0.90367,3.70918
100,0.001,0.0001,0.01,-1,300,9,Experiment Path: ./logs/unconditional_2d/seed_9/voronoi/softlabelbased/20241028-022327,0.47733,1.01909
100,0.001,0.0001,0.01,-1,300,9,Experiment Path: ./logs/unconditional_2d/seed_9/voronoi/softlabelbased/20241028-022327,0.08433,0.13780
100,0.001,0.0001,0.001,-1,150,0,Experiment Path: ./logs/unconditional_2d/seed_0/voronoi/softlabelbased/20241028-022746,0.90767,3.75731
100,0.001,0.0001,0.001,-1,150,0,Experiment Path: ./logs/unconditional_2d/seed_0/voronoi/softlabelbased/20241028-022746,0.49767,1.05654
100,0.001,0.0001,0.001,-1,150,0,Experiment Path: ./logs/unconditional_2d/seed_0/voronoi/softlabelbased/20241028-022746,0.11200,0.15059
100,0.001,0.0001,0.001,-1,150,1,Experiment Path: ./logs/unconditional_2d/seed_1/voronoi/softlabelbased/20241028-022749,0.90133,3.65078
100,0.001,0.0001,0.001,-1,150,1,Experiment Path: ./logs/unconditional_2d/seed_1/voronoi/softlabelbased/20241028-022749,0.50500,1.09768
100,0.001,0.0001,0.001,-1,150,1,Experiment Path: ./logs/unconditional_2d/seed_1/voronoi/softlabelbased/20241028-022749,0.10400,0.14065
