add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/bike_sharing/seed_0/voronoi/softlabelbased/20241028-110233,0.89816,2.17408
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/bike_sharing/seed_0/voronoi/softlabelbased/20241028-110233,0.51438,0.61774
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/bike_sharing/seed_0/voronoi/softlabelbased/20241028-110233,0.10357,0.12076
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/bike_sharing/seed_2/voronoi/softlabelbased/20241028-110233,0.91657,2.36217
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/bike_sharing/seed_2/voronoi/softlabelbased/20241028-110233,0.53280,0.66890
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/bike_sharing/seed_2/voronoi/softlabelbased/20241028-110233,0.10875,0.12473
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/bike_sharing/seed_3/voronoi/softlabelbased/20241028-110233,0.89471,2.15781
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/bike_sharing/seed_3/voronoi/softlabelbased/20241028-110233,0.48734,0.58825
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/bike_sharing/seed_3/voronoi/softlabelbased/20241028-110233,0.08458,0.11153
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/bike_sharing/seed_1/voronoi/softlabelbased/20241028-110233,0.90794,2.27468
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/bike_sharing/seed_1/voronoi/softlabelbased/20241028-110233,0.52301,0.65191
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/bike_sharing/seed_1/voronoi/softlabelbased/20241028-110233,0.10932,0.13338
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/bike_sharing/seed_4/voronoi/softlabelbased/20241028-110252,0.91600,2.24889
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/bike_sharing/seed_4/voronoi/softlabelbased/20241028-110252,0.50460,0.56264
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/bike_sharing/seed_4/voronoi/softlabelbased/20241028-110252,0.08918,0.10683
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/bike_sharing/seed_5/voronoi/softlabelbased/20241028-110255,0.89701,2.18212
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/bike_sharing/seed_5/voronoi/softlabelbased/20241028-110255,0.45052,0.55291
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/bike_sharing/seed_5/voronoi/softlabelbased/20241028-110255,0.09666,0.11626
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/bike_sharing/seed_6/voronoi/softlabelbased/20241028-110255,0.89988,2.12980
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/bike_sharing/seed_6/voronoi/softlabelbased/20241028-110255,0.47814,0.56039
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/bike_sharing/seed_6/voronoi/softlabelbased/20241028-110255,0.09148,0.10611
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/bike_sharing/seed_7/voronoi/softlabelbased/20241028-110255,0.91772,2.36750
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/bike_sharing/seed_7/voronoi/softlabelbased/20241028-110255,0.54143,0.67105
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/bike_sharing/seed_7/voronoi/softlabelbased/20241028-110255,0.09724,0.12627
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/bike_sharing/seed_8/voronoi/softlabelbased/20241028-110312,0.89988,2.18042
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/bike_sharing/seed_8/voronoi/softlabelbased/20241028-110312,0.48159,0.56789
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/bike_sharing/seed_8/voronoi/softlabelbased/20241028-110312,0.09321,0.11253
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/bike_sharing/seed_9/voronoi/softlabelbased/20241028-110314,0.89643,2.14800
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/bike_sharing/seed_9/voronoi/softlabelbased/20241028-110314,0.48101,0.57704
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/bike_sharing/seed_9/voronoi/softlabelbased/20241028-110314,0.08573,0.10425
99999,0.001,0.0001,0.1,-1,300,0,Experiment Path: ./logs/bike_sharing/seed_0/voronoi/softlabelbased/20241028-110315,0.90104,2.01360
99999,0.001,0.0001,0.1,-1,300,0,Experiment Path: ./logs/bike_sharing/seed_0/voronoi/softlabelbased/20241028-110315,0.50978,0.54766
99999,0.001,0.0001,0.1,-1,300,0,Experiment Path: ./logs/bike_sharing/seed_0/voronoi/softlabelbased/20241028-110315,0.10012,0.10915
99999,0.001,0.0001,0.1,-1,300,1,Experiment Path: ./logs/bike_sharing/seed_1/voronoi/softlabelbased/20241028-110315,0.90909,2.12674
99999,0.001,0.0001,0.1,-1,300,1,Experiment Path: ./logs/bike_sharing/seed_1/voronoi/softlabelbased/20241028-110315,0.51726,0.55267
99999,0.001,0.0001,0.1,-1,300,1,Experiment Path: ./logs/bike_sharing/seed_1/voronoi/softlabelbased/20241028-110315,0.10069,0.11730
99999,0.001,0.0001,0.1,-1,300,2,Experiment Path: ./logs/bike_sharing/seed_2/voronoi/softlabelbased/20241028-110335,0.91945,2.21461
99999,0.001,0.0001,0.1,-1,300,2,Experiment Path: ./logs/bike_sharing/seed_2/voronoi/softlabelbased/20241028-110335,0.52129,0.57269
99999,0.001,0.0001,0.1,-1,300,2,Experiment Path: ./logs/bike_sharing/seed_2/voronoi/softlabelbased/20241028-110335,0.12025,0.12297
99999,0.001,0.0001,0.1,-1,300,3,Experiment Path: ./logs/bike_sharing/seed_3/voronoi/softlabelbased/20241028-110339,0.88205,1.92440
99999,0.001,0.0001,0.1,-1,300,3,Experiment Path: ./logs/bike_sharing/seed_3/voronoi/softlabelbased/20241028-110339,0.47123,0.52957
99999,0.001,0.0001,0.1,-1,300,3,Experiment Path: ./logs/bike_sharing/seed_3/voronoi/softlabelbased/20241028-110339,0.08746,0.10469
99999,0.001,0.0001,0.1,-1,300,4,Experiment Path: ./logs/bike_sharing/seed_4/voronoi/softlabelbased/20241028-110342,0.89873,1.91381
99999,0.001,0.0001,0.1,-1,300,4,Experiment Path: ./logs/bike_sharing/seed_4/voronoi/softlabelbased/20241028-110342,0.50000,0.52082
99999,0.001,0.0001,0.1,-1,300,4,Experiment Path: ./logs/bike_sharing/seed_4/voronoi/softlabelbased/20241028-110342,0.10932,0.10955
99999,0.001,0.0001,0.1,-1,300,5,Experiment Path: ./logs/bike_sharing/seed_5/voronoi/softlabelbased/20241028-110342,0.89758,2.00460
99999,0.001,0.0001,0.1,-1,300,5,Experiment Path: ./logs/bike_sharing/seed_5/voronoi/softlabelbased/20241028-110342,0.46605,0.50429
99999,0.001,0.0001,0.1,-1,300,5,Experiment Path: ./logs/bike_sharing/seed_5/voronoi/softlabelbased/20241028-110342,0.09033,0.10089
99999,0.001,0.0001,0.1,-1,300,6,Experiment Path: ./logs/bike_sharing/seed_6/voronoi/softlabelbased/20241028-110357,0.90104,1.96848
99999,0.001,0.0001,0.1,-1,300,6,Experiment Path: ./logs/bike_sharing/seed_6/voronoi/softlabelbased/20241028-110357,0.50230,0.53449
99999,0.001,0.0001,0.1,-1,300,6,Experiment Path: ./logs/bike_sharing/seed_6/voronoi/softlabelbased/20241028-110357,0.10299,0.10537
99999,0.001,0.0001,0.1,-1,300,7,Experiment Path: ./logs/bike_sharing/seed_7/voronoi/softlabelbased/20241028-110401,0.91830,2.14948
99999,0.001,0.0001,0.1,-1,300,7,Experiment Path: ./logs/bike_sharing/seed_7/voronoi/softlabelbased/20241028-110401,0.53740,0.57363
99999,0.001,0.0001,0.1,-1,300,7,Experiment Path: ./logs/bike_sharing/seed_7/voronoi/softlabelbased/20241028-110401,0.11047,0.11719
99999,0.001,0.0001,0.1,-1,300,9,Experiment Path: ./logs/bike_sharing/seed_9/voronoi/softlabelbased/20241028-110404,0.89931,1.95680
