add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-201258,0.95146,1.35828
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-201258,0.59223,0.49392
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-201258,0.08738,0.06011
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-201258,0.97087,1.27330
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-201258,0.61165,0.46981
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-201258,0.23301,0.13262
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-201258,0.90291,1.10832
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-201258,0.57282,0.38569
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-201258,0.08738,0.05970
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-201258,0.93204,1.38411
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-201258,0.45631,0.38449
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-201258,0.22330,0.12813
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-201317,0.91262,1.26848
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-201317,0.49515,0.42096
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-201317,0.08738,0.07490
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-201318,0.92233,1.12260
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-201318,0.48544,0.41014
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-201318,0.18447,0.08490
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/concrete/seed_7/voronoi/softlabelbased/20241028-201318,0.92233,1.12051
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/concrete/seed_7/voronoi/softlabelbased/20241028-201318,0.45631,0.29534
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/concrete/seed_7/voronoi/softlabelbased/20241028-201318,0.09709,0.05915
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/concrete/seed_6/voronoi/softlabelbased/20241028-201318,0.96117,1.27635
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/concrete/seed_6/voronoi/softlabelbased/20241028-201318,0.58252,0.45383
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/concrete/seed_6/voronoi/softlabelbased/20241028-201318,0.21359,0.11325
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/concrete/seed_8/voronoi/softlabelbased/20241028-201332,0.95146,1.31200
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/concrete/seed_8/voronoi/softlabelbased/20241028-201332,0.63107,0.48277
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/concrete/seed_8/voronoi/softlabelbased/20241028-201332,0.16505,0.08228
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/concrete/seed_9/voronoi/softlabelbased/20241028-201335,0.92233,1.26620
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/concrete/seed_9/voronoi/softlabelbased/20241028-201335,0.56311,0.46037
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/concrete/seed_9/voronoi/softlabelbased/20241028-201335,0.14563,0.12284
99999,0.001,0.0001,0.1,-1,300,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-201335,0.94175,1.19316
99999,0.001,0.0001,0.1,-1,300,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-201335,0.56311,0.35332
99999,0.001,0.0001,0.1,-1,300,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-201335,0.15534,0.06255
99999,0.001,0.0001,0.1,-1,300,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-201335,0.93204,1.31973
99999,0.001,0.0001,0.1,-1,300,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-201335,0.47573,0.33231
99999,0.001,0.0001,0.1,-1,300,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-201335,0.14563,0.07921
99999,0.001,0.0001,0.1,-1,300,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-201347,0.90291,1.12125
99999,0.001,0.0001,0.1,-1,300,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-201347,0.45631,0.25517
99999,0.001,0.0001,0.1,-1,300,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-201347,0.12621,0.05708
99999,0.001,0.0001,0.1,-1,300,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-201351,0.97087,1.08919
99999,0.001,0.0001,0.1,-1,300,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-201351,0.62136,0.33806
99999,0.001,0.0001,0.1,-1,300,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-201351,0.26214,0.09106
99999,0.001,0.0001,0.1,-1,300,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-201355,0.90291,0.97371
99999,0.001,0.0001,0.1,-1,300,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-201355,0.57282,0.28304
99999,0.001,0.0001,0.1,-1,300,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-201355,0.10680,0.06008
99999,0.001,0.0001,0.1,-1,300,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-201355,0.94175,1.22870
99999,0.001,0.0001,0.1,-1,300,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-201355,0.42718,0.24600
99999,0.001,0.0001,0.1,-1,300,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-201355,0.08738,0.04269
99999,0.001,0.0001,0.1,-1,300,6,Experiment Path: ./logs/concrete/seed_6/voronoi/softlabelbased/20241028-201404,0.93204,1.24261
99999,0.001,0.0001,0.1,-1,300,6,Experiment Path: ./logs/concrete/seed_6/voronoi/softlabelbased/20241028-201404,0.58252,0.34846
99999,0.001,0.0001,0.1,-1,300,6,Experiment Path: ./logs/concrete/seed_6/voronoi/softlabelbased/20241028-201404,0.13592,0.06021
99999,0.001,0.0001,0.1,-1,300,7,Experiment Path: ./logs/concrete/seed_7/voronoi/softlabelbased/20241028-201409,0.94175,1.15977
99999,0.001,0.0001,0.1,-1,300,7,Experiment Path: ./logs/concrete/seed_7/voronoi/softlabelbased/20241028-201409,0.53398,0.29971
99999,0.001,0.0001,0.1,-1,300,7,Experiment Path: ./logs/concrete/seed_7/voronoi/softlabelbased/20241028-201409,0.06796,0.05255
99999,0.001,0.0001,0.1,-1,300,8,Experiment Path: ./logs/concrete/seed_8/voronoi/softlabelbased/20241028-201415,0.95146,1.17943
99999,0.001,0.0001,0.1,-1,300,8,Experiment Path: ./logs/concrete/seed_8/voronoi/softlabelbased/20241028-201415,0.66990,0.37146
99999,0.001,0.0001,0.1,-1,300,8,Experiment Path: ./logs/concrete/seed_8/voronoi/softlabelbased/20241028-201415,0.15534,0.06487
99999,0.001,0.0001,0.1,-1,300,9,Experiment Path: ./logs/concrete/seed_9/voronoi/softlabelbased/20241028-201415,0.88350,1.13034
99999,0.001,0.0001,0.1,-1,300,9,Experiment Path: ./logs/concrete/seed_9/voronoi/softlabelbased/20241028-201415,0.42718,0.26870
99999,0.001,0.0001,0.1,-1,300,9,Experiment Path: ./logs/concrete/seed_9/voronoi/softlabelbased/20241028-201415,0.05825,0.04229
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-201422,0.93204,1.23769
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-201422,0.63107,0.49403
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/concrete/seed_0/voronoi/softlabelbased/20241028-201422,0.05825,0.05799
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-201427,0.93204,1.36671
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-201427,0.47573,0.40953
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/concrete/seed_1/voronoi/softlabelbased/20241028-201427,0.18447,0.13057
99999,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-201435,0.97087,1.27876
99999,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-201435,0.63107,0.47524
99999,0.001,0.0001,0.01,-1,150,3,Experiment Path: ./logs/concrete/seed_3/voronoi/softlabelbased/20241028-201435,0.19417,0.12912
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-201435,0.90291,1.09064
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-201435,0.52427,0.37235
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/concrete/seed_2/voronoi/softlabelbased/20241028-201435,0.11650,0.06145
99999,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-201438,0.92233,1.33057
99999,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-201438,0.51456,0.46255
99999,0.001,0.0001,0.01,-1,150,4,Experiment Path: ./logs/concrete/seed_4/voronoi/softlabelbased/20241028-201438,0.10680,0.08239
99999,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-201443,0.93204,1.14901
99999,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/concrete/seed_5/voronoi/softlabelbased/20241028-201443,0.56311,0.41521
