add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/energy_efficiency/seed_0/voronoi/softlabelbased/20241028-120558,0.90909,0.17847
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/energy_efficiency/seed_0/voronoi/softlabelbased/20241028-120558,0.51948,0.02870
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/energy_efficiency/seed_0/voronoi/softlabelbased/20241028-120558,0.15584,0.00793
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/energy_efficiency/seed_1/voronoi/softlabelbased/20241028-120615,0.92208,0.22135
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/energy_efficiency/seed_1/voronoi/softlabelbased/20241028-120615,0.57143,0.04263
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/energy_efficiency/seed_1/voronoi/softlabelbased/20241028-120615,0.10390,0.00931
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/energy_efficiency/seed_2/voronoi/softlabelbased/20241028-121041,0.93506,0.23924
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/energy_efficiency/seed_2/voronoi/softlabelbased/20241028-121041,0.50649,0.03480
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/energy_efficiency/seed_2/voronoi/softlabelbased/20241028-121041,0.06494,0.00749
99999,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/energy_efficiency/seed_5/voronoi/softlabelbased/20241028-121057,0.89610,0.23105
99999,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/energy_efficiency/seed_5/voronoi/softlabelbased/20241028-121057,0.55844,0.03703
99999,0.001,0.0001,0.01,-1,150,5,Experiment Path: ./logs/energy_efficiency/seed_5/voronoi/softlabelbased/20241028-121057,0.06494,0.00551
