add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/MEPS_21/seed_0/voronoi/softlabelbased/20241028-112818,0.88506,0.90047
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/MEPS_21/seed_0/voronoi/softlabelbased/20241028-112818,0.49298,0.43575
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/MEPS_21/seed_0/voronoi/softlabelbased/20241028-112818,0.11877,0.11290
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/MEPS_21/seed_3/voronoi/softlabelbased/20241028-112818,0.88442,0.88802
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/MEPS_21/seed_3/voronoi/softlabelbased/20241028-112818,0.48851,0.41064
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/MEPS_21/seed_3/voronoi/softlabelbased/20241028-112818,0.10345,0.09895
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/MEPS_21/seed_1/voronoi/softlabelbased/20241028-112819,0.89464,0.98720
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/MEPS_21/seed_1/voronoi/softlabelbased/20241028-112819,0.48978,0.46829
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/MEPS_21/seed_1/voronoi/softlabelbased/20241028-112819,0.09579,0.10060
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/MEPS_21/seed_2/voronoi/softlabelbased/20241028-112818,0.88570,1.11713
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/MEPS_21/seed_2/voronoi/softlabelbased/20241028-112818,0.50000,0.52893
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/MEPS_21/seed_2/voronoi/softlabelbased/20241028-112818,0.10856,0.12502
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/MEPS_21/seed_4/voronoi/softlabelbased/20241028-112838,0.91443,1.04705
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/MEPS_21/seed_4/voronoi/softlabelbased/20241028-112838,0.52810,0.48049
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/MEPS_21/seed_4/voronoi/softlabelbased/20241028-112838,0.11877,0.12001
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/MEPS_21/seed_6/voronoi/softlabelbased/20241028-112838,0.90677,0.89675
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/MEPS_21/seed_6/voronoi/softlabelbased/20241028-112838,0.48340,0.40208
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/MEPS_21/seed_6/voronoi/softlabelbased/20241028-112838,0.10792,0.10639
