add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/bincountbased/20241028-111347,0.91550,0.47288
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/bincountbased/20241028-111347,0.55750,0.20292
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/bincountbased/20241028-111347,0.12100,0.03349
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/bincountbased/20241028-111347,0.91750,0.47388
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/bincountbased/20241028-111347,0.52000,0.20316
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/bincountbased/20241028-111347,0.10750,0.03304
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/bincountbased/20241028-111347,0.93150,0.47344
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/bincountbased/20241028-111347,0.53400,0.20265
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/bincountbased/20241028-111347,0.11000,0.03332
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/bincountbased/20241028-111347,0.92750,0.47093
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/bincountbased/20241028-111347,0.56350,0.20219
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/bincountbased/20241028-111347,0.11550,0.03288
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/bincountbased/20241028-111407,0.92750,0.47327
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/bincountbased/20241028-111407,0.53350,0.20251
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/bincountbased/20241028-111407,0.10350,0.03306
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/bincountbased/20241028-111408,0.91450,0.47036
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/bincountbased/20241028-111408,0.50200,0.20253
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/bincountbased/20241028-111408,0.10000,0.03326
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/bincountbased/20241028-111408,0.91750,0.47277
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/bincountbased/20241028-111408,0.51200,0.20327
99999,0.001,0.0001,0.1,-1,150,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/bincountbased/20241028-111408,0.11300,0.03355
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/bincountbased/20241028-111408,0.91850,0.47286
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/bincountbased/20241028-111408,0.53800,0.20270
99999,0.001,0.0001,0.1,-1,150,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/bincountbased/20241028-111408,0.10350,0.03337
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/bincountbased/20241028-111425,0.92350,0.47215
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/bincountbased/20241028-111425,0.56350,0.20192
99999,0.001,0.0001,0.1,-1,150,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/bincountbased/20241028-111425,0.11950,0.03299
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/bincountbased/20241028-111428,0.91550,0.47384
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/bincountbased/20241028-111428,0.52500,0.20218
99999,0.001,0.0001,0.1,-1,150,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/bincountbased/20241028-111428,0.10950,0.03346
99999,0.001,0.0001,0.1,-1,300,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/bincountbased/20241028-111429,0.91550,0.47017
99999,0.001,0.0001,0.1,-1,300,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/bincountbased/20241028-111429,0.51900,0.20168
99999,0.001,0.0001,0.1,-1,300,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/bincountbased/20241028-111429,0.10750,0.03310
99999,0.001,0.0001,0.1,-1,300,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/bincountbased/20241028-111429,0.91550,0.47114
99999,0.001,0.0001,0.1,-1,300,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/bincountbased/20241028-111429,0.54250,0.20246
99999,0.001,0.0001,0.1,-1,300,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/bincountbased/20241028-111429,0.12200,0.03344
99999,0.001,0.0001,0.1,-1,300,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/bincountbased/20241028-111441,0.91650,0.46998
99999,0.001,0.0001,0.1,-1,300,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/bincountbased/20241028-111441,0.56350,0.20146
99999,0.001,0.0001,0.1,-1,300,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/bincountbased/20241028-111441,0.11450,0.03272
99999,0.001,0.0001,0.1,-1,300,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/bincountbased/20241028-111446,0.92850,0.47037
99999,0.001,0.0001,0.1,-1,300,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/bincountbased/20241028-111446,0.51050,0.20196
99999,0.001,0.0001,0.1,-1,300,3,Experiment Path: ./logs/unconditional_1d/seed_3/voronoi/bincountbased/20241028-111446,0.10900,0.03325
99999,0.001,0.0001,0.1,-1,300,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/bincountbased/20241028-111450,0.92400,0.47068
99999,0.001,0.0001,0.1,-1,300,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/bincountbased/20241028-111450,0.52300,0.20227
99999,0.001,0.0001,0.1,-1,300,4,Experiment Path: ./logs/unconditional_1d/seed_4/voronoi/bincountbased/20241028-111450,0.10400,0.03316
99999,0.001,0.0001,0.1,-1,300,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/bincountbased/20241028-111450,0.90400,0.47023
99999,0.001,0.0001,0.1,-1,300,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/bincountbased/20241028-111450,0.52100,0.20025
99999,0.001,0.0001,0.1,-1,300,5,Experiment Path: ./logs/unconditional_1d/seed_5/voronoi/bincountbased/20241028-111450,0.10000,0.03295
99999,0.001,0.0001,0.1,-1,300,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/bincountbased/20241028-111500,0.91750,0.47002
99999,0.001,0.0001,0.1,-1,300,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/bincountbased/20241028-111500,0.52050,0.20215
99999,0.001,0.0001,0.1,-1,300,6,Experiment Path: ./logs/unconditional_1d/seed_6/voronoi/bincountbased/20241028-111500,0.10300,0.03342
99999,0.001,0.0001,0.1,-1,300,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/bincountbased/20241028-111505,0.91650,0.47072
99999,0.001,0.0001,0.1,-1,300,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/bincountbased/20241028-111505,0.53350,0.20098
99999,0.001,0.0001,0.1,-1,300,7,Experiment Path: ./logs/unconditional_1d/seed_7/voronoi/bincountbased/20241028-111505,0.11300,0.03338
99999,0.001,0.0001,0.1,-1,300,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/bincountbased/20241028-111515,0.91350,0.47048
99999,0.001,0.0001,0.1,-1,300,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/bincountbased/20241028-111515,0.52250,0.20283
99999,0.001,0.0001,0.1,-1,300,9,Experiment Path: ./logs/unconditional_1d/seed_9/voronoi/bincountbased/20241028-111515,0.10950,0.03334
99999,0.001,0.0001,0.1,-1,300,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/bincountbased/20241028-111515,0.92150,0.46986
99999,0.001,0.0001,0.1,-1,300,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/bincountbased/20241028-111515,0.54300,0.20200
99999,0.001,0.0001,0.1,-1,300,8,Experiment Path: ./logs/unconditional_1d/seed_8/voronoi/bincountbased/20241028-111515,0.11850,0.03289
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/bincountbased/20241028-111523,0.91450,0.46677
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/bincountbased/20241028-111523,0.57850,0.21595
99999,0.001,0.0001,0.01,-1,150,0,Experiment Path: ./logs/unconditional_1d/seed_0/voronoi/bincountbased/20241028-111523,0.19300,0.05996
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/bincountbased/20241028-111527,0.91200,0.46788
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/bincountbased/20241028-111527,0.52300,0.18897
99999,0.001,0.0001,0.01,-1,150,1,Experiment Path: ./logs/unconditional_1d/seed_1/voronoi/bincountbased/20241028-111527,0.21450,0.06182
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/bincountbased/20241028-111536,0.93650,0.49869
99999,0.001,0.0001,0.01,-1,150,2,Experiment Path: ./logs/unconditional_1d/seed_2/voronoi/bincountbased/20241028-111536,0.53550,0.18782
