add_remove_every_n_epoch,proto_split_density_threshold,proto_remove_density_threshold,repulsion_loss_margin,batch_size,epochs,seed,experiment_path,cov_value,PINAW_value
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/white_wine/seed_0/voronoi/softlabelbased/20241028-110920,0.92308,0.63270
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/white_wine/seed_0/voronoi/softlabelbased/20241028-110920,0.51538,0.17197
99999,0.001,0.0001,0.1,-1,150,0,Experiment Path: ./logs/white_wine/seed_0/voronoi/softlabelbased/20241028-110920,0.10000,0.03840
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/white_wine/seed_2/voronoi/softlabelbased/20241028-110920,0.91692,0.58850
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/white_wine/seed_2/voronoi/softlabelbased/20241028-110920,0.50462,0.16333
99999,0.001,0.0001,0.1,-1,150,2,Experiment Path: ./logs/white_wine/seed_2/voronoi/softlabelbased/20241028-110920,0.10000,0.04530
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/white_wine/seed_1/voronoi/softlabelbased/20241028-110920,0.88923,0.58231
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/white_wine/seed_1/voronoi/softlabelbased/20241028-110920,0.50308,0.16722
99999,0.001,0.0001,0.1,-1,150,1,Experiment Path: ./logs/white_wine/seed_1/voronoi/softlabelbased/20241028-110920,0.12769,0.04598
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/white_wine/seed_3/voronoi/softlabelbased/20241028-110920,0.91077,0.60380
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/white_wine/seed_3/voronoi/softlabelbased/20241028-110920,0.49692,0.15755
99999,0.001,0.0001,0.1,-1,150,3,Experiment Path: ./logs/white_wine/seed_3/voronoi/softlabelbased/20241028-110920,0.10615,0.03513
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/white_wine/seed_4/voronoi/softlabelbased/20241028-110937,0.88769,0.56800
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/white_wine/seed_4/voronoi/softlabelbased/20241028-110937,0.46154,0.15454
99999,0.001,0.0001,0.1,-1,150,4,Experiment Path: ./logs/white_wine/seed_4/voronoi/softlabelbased/20241028-110937,0.08000,0.03558
99999,0.001,0.0001,0.1,-1,150,5,Experiment Path: ./logs/white_wine/seed_5/voronoi/softlabelbased/20241028-110938,0.88769,0.55464
